Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_10.mzML
Q15648	MED1_HUMAN	MED1	Mediator of RNA polymerase II transcription subunit 1	8.78736e+06
Q15650	TRIP4_HUMAN	TRIP4	Activating signal cointegrator 1	1.61057e+06
Q15651	HMGN3_HUMAN	HMGN3	High mobility group nucleosome-binding domain-containing protein 3	7.72126e+06
Q15653	IKBB_HUMAN	NFKBIB	NF-kappa-B inhibitor beta	6.66116e+06
Q15654	TRIP6_HUMAN	TRIP6	Thyroid receptor-interacting protein 6	1.20406e+07
Q15669	RHOH_HUMAN	RHOH	Rho-related GTP-binding protein RhoH	3.02784e+07
Q15691	MARE1_HUMAN	MAPRE1	Microtubule-associated protein RP/EB family member 1	5.82985e+07
Q15714	T22D1_HUMAN	TSC22D1	TSC22 domain family protein 1	7.58662e+06
Q15717	ELAV1_HUMAN	ELAVL1	ELAV-like protein 1	9.56809e+07
Q15723	ELF2_HUMAN	ELF2	ETS-related transcription factor Elf-2	48683.6
Q15738	NSDHL_HUMAN	NSDHL	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	1.10846e+07
Q15742	NAB2_HUMAN	NAB2	NGFI-A-binding protein 2	3.48934e+06
Q15746	MYLK_HUMAN	MYLK	Myosin light chain kinase, smooth muscle	3.14589e+07
Q15750	TAB1_HUMAN	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	3.32925e+07
Q15751	HERC1_HUMAN	HERC1	Probable E3 ubiquitin-protein ligase HERC1	7.97543e+06
Q15758	AAAT_HUMAN	SLC1A5	Neutral amino acid transporter B(0)	2.61378e+07
Q15772	SPEG_HUMAN	SPEG	Striated muscle preferentially expressed protein kinase	1.82744e+07
Q15773	MLF2_HUMAN	MLF2	Myeloid leukemia factor 2	5.9414e+06
Q15785	TOM34_HUMAN	TOMM34	Mitochondrial import receptor subunit TOM34	5.02608e+06
Q15796	SMAD2_HUMAN	SMAD2	Mothers against decapentaplegic homolog 2	1.50878e+07
Q15797	SMAD1_HUMAN	SMAD1	Mothers against decapentaplegic homolog 1	2.88576e+06
Q15811	ITSN1_HUMAN	ITSN1	Intersectin-1	2.76247e+06
Q15813	TBCE_HUMAN	TBCE	Tubulin-specific chaperone E	1.08649e+06
Q15814	TBCC_HUMAN	TBCC	Tubulin-specific chaperone C	1.11724e+07
Q15819	UB2V2_HUMAN	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	6.75481e+07
Q15833	STXB2_HUMAN	STXBP2	Syntaxin-binding protein 2	2.09171e+07
Q15836	VAMP3_HUMAN	VAMP3	Vesicle-associated membrane protein 3	8.82546e+06
Q15843	NEDD8_HUMAN	NEDD8	NEDD8	3.05249e+07
Q15847	ADIRF_HUMAN	ADIRF	Adipogenesis regulatory factor	1.90899e+07
Q15853	USF2_HUMAN	USF2	Upstream stimulatory factor 2	1.8799e+06
Q15904	VAS1_HUMAN	ATP6AP1	V-type proton ATPase subunit S1	3.62117e+06
Q15906	VPS72_HUMAN	VPS72	Vacuolar protein sorting-associated protein 72 homolog	7.53244e+06
Q15907	RB11B_HUMAN	RAB11B	Ras-related protein Rab-11B	1.32262e+08
Q15942	ZYX_HUMAN	ZYX	Zyxin	6.22132e+07
Q16082	HSPB2_HUMAN	HSPB2	Heat shock protein beta-2	1.6014e+06
Q16134	ETFD_HUMAN	ETFDH	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	1.25177e+07
Q16181	SEPT7_HUMAN	SEPTIN7	Septin-7	6.48631e+07
Q16186	ADRM1_HUMAN	ADRM1	Proteasomal ubiquitin receptor ADRM1	1.93186e+07
Q16204	CCDC6_HUMAN	CCDC6	Coiled-coil domain-containing protein 6	7.92733e+06
Q16222	UAP1_HUMAN	UAP1	UDP-N-acetylhexosamine pyrophosphorylase	7.50266e+06
Q16270	IBP7_HUMAN	IGFBP7	Insulin-like growth factor-binding protein 7	1.22678e+07
Q16352	AINX_HUMAN	INA	Alpha-internexin	1.96128e+07
Q16363	LAMA4_HUMAN	LAMA4	Laminin subunit alpha-4	9.29815e+06
Q16394	EXT1_HUMAN	EXT1	Exostosin-1	561454
Q16401	PSMD5_HUMAN	PSMD5	26S proteasome non-ATPase regulatory subunit 5	3.20465e+07
Q16512	PKN1_HUMAN	PKN1	Serine/threonine-protein kinase N1	1.6804e+07
Q16513	PKN2_HUMAN	PKN2	Serine/threonine-protein kinase N2	4.61903e+06
Q16527	CSRP2_HUMAN	CSRP2	Cysteine and glycine-rich protein 2	3.71694e+07
Q16531	DDB1_HUMAN	DDB1	DNA damage-binding protein 1	3.85482e+07
Q16537	2A5E_HUMAN	PPP2R5E	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	5.94344e+06
Q16539	MK14_HUMAN	MAPK14	Mitogen-activated protein kinase 14	8.90398e+06
Q16540	RM23_HUMAN	MRPL23	Large ribosomal subunit protein uL23m	6.68993e+06
Q16543	CDC37_HUMAN	CDC37	Hsp90 co-chaperone Cdc37	4.78373e+07
Q16555	DPYL2_HUMAN	DPYSL2	Dihydropyrimidinase-related protein 2	1.19526e+08
Q16563	SYPL1_HUMAN	SYPL1	Synaptophysin-like protein 1	1.3627e+07
Q16576	RBBP7_HUMAN	RBBP7	Histone-binding protein RBBP7	2.63862e+07
Q16594	TAF9_HUMAN	TAF9	Transcription initiation factor TFIID subunit 9	3.15504e+06
Q16595	FRDA_HUMAN	FXN	Frataxin, mitochondrial	4.55904e+06
Q16610	ECM1_HUMAN	ECM1	Extracellular matrix protein 1	1.87159e+07
Q16611	BAK_HUMAN	BAK1	Bcl-2 homologous antagonist/killer	6.0312e+06
Q16626	MEA1_HUMAN	MEA1	Male-enhanced antigen 1	423731
Q16629	SRSF7_HUMAN	SRSF7	Serine/arginine-rich splicing factor 7	1.20705e+08
Q16630	CPSF6_HUMAN	CPSF6	Cleavage and polyadenylation specificity factor subunit 6	2.61423e+07
Q16643	DREB_HUMAN	DBN1	Drebrin	1.61555e+07
Q16644	MAPK3_HUMAN	MAPKAPK3	MAP kinase-activated protein kinase 3	1.73777e+06
Q16647	PTGIS_HUMAN	PTGIS	Prostacyclin synthase	1.26076e+07
Q16650	TBR1_HUMAN	TBR1	T-box brain protein 1	1.71887e+07
Q16651	PRSS8_HUMAN	PRSS8	Prostasin	2.49004e+06
Q16656	NRF1_HUMAN	NRF1	Nuclear respiratory factor 1	4.67525e+06
Q16658	FSCN1_HUMAN	FSCN1	Fascin	1.50866e+08
Q16666	IF16_HUMAN	IFI16	Gamma-interferon-inducible protein 16	5.51885e+07
Q16698	DECR_HUMAN	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	3.72666e+07
Q16706	MA2A1_HUMAN	MAN2A1	Alpha-mannosidase 2	3.5814e+06
Q16718	NDUA5_HUMAN	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	5.6247e+06
Q16720	AT2B3_HUMAN	ATP2B3	Plasma membrane calcium-transporting ATPase 3	2.73274e+06
Q16740	CLPP_HUMAN	CLPP	ATP-dependent Clp protease proteolytic subunit, mitochondrial	1.7216e+07
Q16762	THTR_HUMAN	TST	Thiosulfate sulfurtransferase	1.56054e+07
Q16763	UBE2S_HUMAN	UBE2S	Ubiquitin-conjugating enzyme E2 S	5.17781e+06
Q16774	KGUA_HUMAN	GUK1	Guanylate kinase	6.99216e+06
Q16775	GLO2_HUMAN	HAGH	Hydroxyacylglutathione hydrolase, mitochondrial	1.26323e+07
Q16778	H2B2E_HUMAN	H2BC21	Histone H2B type 2-E	1.02364e+09
Q16787	LAMA3_HUMAN	LAMA3	Laminin subunit alpha-3	5.09734e+06
Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	1.19198e+07
Q16798	MAON_HUMAN	ME3	NADP-dependent malic enzyme, mitochondrial	1.89592e+06
Q16822	PCKGM_HUMAN	PCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	2.55024e+07
Q16831	UPP1_HUMAN	UPP1	Uridine phosphorylase 1	3.56752e+06
Q16836	HCDH_HUMAN	HADH	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	7.39185e+07
Q16850	CP51A_HUMAN	CYP51A1	Lanosterol 14-alpha demethylase	1.52376e+07
Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase	3.7445e+07
Q16853	AOC3_HUMAN	AOC3	Membrane primary amine oxidase	8.9275e+07
Q16854	DGUOK_HUMAN	DGUOK	Deoxyguanosine kinase, mitochondrial	1.7119e+06
Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F	5.46543e+06
Q16881	TRXR1_HUMAN	TXNRD1	Thioredoxin reductase 1, cytoplasmic	1.80246e+07
Q16890	TPD53_HUMAN	TPD52L1	Tumor protein D53	1.22684e+07
Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	4.67966e+07
Q17RN3	FA98C_HUMAN	FAM98C	Protein FAM98C	1.17841e+06
Q1ED39	KNOP1_HUMAN	KNOP1	Lysine-rich nucleolar protein 1	3.35577e+06
Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	3.80436e+07
Q24JP5	T132A_HUMAN	TMEM132A	Transmembrane protein 132A	1.82452e+06
Q27J81	INF2_HUMAN	INF2	Inverted formin-2	6.24258e+06
Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A	5.2201e+06
Q2KHT3	CL16A_HUMAN	CLEC16A	Protein CLEC16A	1.56668e+07
Q2M2I3	FA83E_HUMAN	FAM83E	Protein FAM83E	5.35831e+07
Q2M2I8	AAK1_HUMAN	AAK1	AP2-associated protein kinase 1	4.58867e+06
Q2M389	WASC4_HUMAN	WASHC4	WASH complex subunit 4	1.68627e+07
Q2NL82	TSR1_HUMAN	TSR1	Pre-rRNA-processing protein TSR1 homolog	5.23244e+06
Q2PPJ7	RGPA2_HUMAN	RALGAPA2	Ral GTPase-activating protein subunit alpha-2	7.15163e+06
Q2PZI1	D19L1_HUMAN	DPY19L1	Probable C-mannosyltransferase DPY19L1	561921
Q2TAA2	IAH1_HUMAN	IAH1	Isoamyl acetate-hydrolyzing esterase 1 homolog	1.66852e+07
Q2TAA5	ALG11_HUMAN	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	1.56508e+06
Q2TAL8	QRIC1_HUMAN	QRICH1	Transcriptional regulator QRICH1	6.02317e+06
Q2TAM9	TUSC1_HUMAN	TUSC1	Tumor suppressor candidate gene 1 protein	436808
Q2TAY7	SMU1_HUMAN	SMU1	WD40 repeat-containing protein SMU1	2.0716e+07
Q2UY09	COSA1_HUMAN	COL28A1	Collagen alpha-1(XXVIII) chain	2.7188e+08
Q2VPK5	CTU2_HUMAN	CTU2	Cytoplasmic tRNA 2-thiolation protein 2	3.56932e+06
Q30154	DRB5_HUMAN	HLA-DRB5	HLA class II histocompatibility antigen, DR beta 5 chain	5.09448e+07
Q32M88	PGGHG_HUMAN	PGGHG	Protein-glucosylgalactosylhydroxylysine glucosidase	744493
Q32MZ4	LRRF1_HUMAN	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1	3.98781e+07
Q32NB8	PGPS1_HUMAN	PGS1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial	3.6323e+06
Q32P28	P3H1_HUMAN	P3H1	Prolyl 3-hydroxylase 1	2.18256e+07
Q32P41	TRM5_HUMAN	TRMT5	tRNA (guanine(37)-N1)-methyltransferase	4.04979e+07
Q32P44	EMAL3_HUMAN	EML3	Echinoderm microtubule-associated protein-like 3	8.31074e+06
Q38SD2	LRRK1_HUMAN	LRRK1	Leucine-rich repeat serine/threonine-protein kinase 1	1.10743e+07
Q3B726	RPA43_HUMAN	POLR1F	DNA-directed RNA polymerase I subunit RPA43	690082
Q3KQU3	MA7D1_HUMAN	MAP7D1	MAP7 domain-containing protein 1	5.35138e+06
Q3KQV9	UAP1L_HUMAN	UAP1L1	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	5.76622e+06
Q3KRA6	CB076_HUMAN	C2orf76	UPF0538 protein C2orf76	409448
Q3LXA3	TKFC_HUMAN	TKFC	Triokinase/FMN cyclase	8.86335e+06
Q3MHD2	LSM12_HUMAN	LSM12	Protein LSM12	6.91955e+06
Q3SXM5	HSDL1_HUMAN	HSDL1	Inactive hydroxysteroid dehydrogenase-like protein 1	1.41106e+06
Q3SY69	AL1L2_HUMAN	ALDH1L2	Mitochondrial 10-formyltetrahydrofolate dehydrogenase	4.23759e+06
Q3SYG4	PTHB1_HUMAN	BBS9	Protein PTHB1	7.06471e+07
Q3V6T2	GRDN_HUMAN	CCDC88A	Girdin	2.71372e+06
Q3YEC7	RABL6_HUMAN	RABL6	Rab-like protein 6	3.50878e+06
Q3ZCM7	TBB8_HUMAN	TUBB8	Tubulin beta-8 chain	2.35618e+06
Q3ZCQ8	TIM50_HUMAN	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50	6.23154e+06
Q3ZCW2	LEGL_HUMAN	LGALSL	Galectin-related protein	2.25072e+06
Q460N5	PAR14_HUMAN	PARP14	Protein mono-ADP-ribosyltransferase PARP14	5.73611e+07
Q495W5	FUT11_HUMAN	FUT11	Alpha-(1,3)-fucosyltransferase 11	2.0595e+06
Q49A26	GLYR1_HUMAN	GLYR1	Cytokine-like nuclear factor N-PAC	6.5706e+06
Q49AR2	CE022_HUMAN	C5orf22	UPF0489 protein C5orf22	2.89259e+06
Q4G0F5	VP26B_HUMAN	VPS26B	Vacuolar protein sorting-associated protein 26B	8.20925e+06
Q4G0J3	LARP7_HUMAN	LARP7	La-related protein 7	7.64117e+06
Q4G0N4	NAKD2_HUMAN	NADK2	NAD kinase 2, mitochondrial	1.42846e+07
Q4G0X4	KCD21_HUMAN	KCTD21	BTB/POZ domain-containing protein KCTD21	1.9183e+06
Q4G176	ACSF3_HUMAN	ACSF3	Malonate--CoA ligase ACSF3, mitochondrial	9.13572e+06
Q4J6C6	PPCEL_HUMAN	PREPL	Prolyl endopeptidase-like	2.67972e+06
Q4KMP7	TB10B_HUMAN	TBC1D10B	TBC1 domain family member 10B	3.57966e+06
Q4KMQ2	ANO6_HUMAN	ANO6	Anoctamin-6	2.89514e+06
Q4L180	FIL1L_HUMAN	FILIP1L	Filamin A-interacting protein 1-like	4.68702e+07
Q4U2R6	RM51_HUMAN	MRPL51	Large ribosomal subunit protein mL51	1.64432e+06
Q4V328	GRAP1_HUMAN	GRIPAP1	GRIP1-associated protein 1	5.86145e+06
Q4V9L6	TM119_HUMAN	TMEM119	Transmembrane protein 119	8.74377e+06
Q4VC05	BCL7A_HUMAN	BCL7A	B-cell CLL/lymphoma 7 protein family member A	7.69255e+06
Q4VC31	MIX23_HUMAN	MIX23	Protein MIX23	4.67915e+06
Q504Q3	PAN2_HUMAN	PAN2	PAN2-PAN3 deadenylation complex catalytic subunit PAN2	509236
Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B	1.63845e+07
Q53EL6	PDCD4_HUMAN	PDCD4	Programmed cell death protein 4	2.65636e+07
Q53EP0	FND3B_HUMAN	FNDC3B	Fibronectin type III domain-containing protein 3B	5.67487e+06
Q53ET0	CRTC2_HUMAN	CRTC2	CREB-regulated transcription coactivator 2	508774
Q53F19	NCBP3_HUMAN	NCBP3	Nuclear cap-binding protein subunit 3	5.26402e+06
Q53F39	MPPE1_HUMAN	MPPE1	Metallophosphoesterase 1	361233
Q53FA7	QORX_HUMAN	TP53I3	Quinone oxidoreductase PIG3	1.18492e+07
Q53FT3	HIKES_HUMAN	HIKESHI	Protein Hikeshi	3.33759e+06
Q53G44	IF44L_HUMAN	IFI44L	Interferon-induced protein 44-like	263956
Q53GG5	PDLI3_HUMAN	PDLIM3	PDZ and LIM domain protein 3	1.46709e+07
Q53GL0	PKHO1_HUMAN	PLEKHO1	Pleckstrin homology domain-containing family O member 1	344332
Q53GL7	PAR10_HUMAN	PARP10	Protein mono-ADP-ribosyltransferase PARP10	3.99875e+06
Q53GQ0	DHB12_HUMAN	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase	9.24859e+06
Q53GS7	GLE1_HUMAN	GLE1	mRNA export factor GLE1	977582
Q53GS9	UBP39_HUMAN	USP39	Ubiquitin carboxyl-terminal hydrolase 39	2.04818e+07
Q53H12	AGK_HUMAN	AGK	Acylglycerol kinase, mitochondrial	5.08563e+06
Q53H47	SETMR_HUMAN	SETMAR	Histone-lysine N-methyltransferase SETMAR	1.59323e+06
Q53H82	LACB2_HUMAN	LACTB2	Endoribonuclease LACTB2	2.63463e+06
Q53H96	P5CR3_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3	6.71538e+06
Q53HC9	EIPR1_HUMAN	EIPR1	EARP and GARP complex-interacting protein 1	6.79208e+06
Q53HL2	BOREA_HUMAN	CDCA8	Borealin	381289
Q53QV2	LBH_HUMAN	LBH	Protein LBH	2.28715e+06
Q53QZ3	RHG15_HUMAN	ARHGAP15	Rho GTPase-activating protein 15	528268
Q53RD9	FBLN7_HUMAN	FBLN7	Fibulin-7	1.89683e+06
Q53SF7	COBL1_HUMAN	COBLL1	Cordon-bleu protein-like 1	4.01575e+06
Q53T59	H1BP3_HUMAN	HS1BP3	HCLS1-binding protein 3	7.3646e+06
Q53TN4	CYBR1_HUMAN	CYBRD1	Plasma membrane ascorbate-dependent reductase CYBRD1	2.90317e+07
Q562E7	WDR81_HUMAN	WDR81	WD repeat-containing protein 81	5.533e+06
Q562R1	ACTBL_HUMAN	ACTBL2	Beta-actin-like protein 2	8.47732e+06
Q567U6	CCD93_HUMAN	CCDC93	Coiled-coil domain-containing protein 93	6.64974e+06
Q56A73	SPIN4_HUMAN	SPIN4	Spindlin-4	2.77839e+06
Q56VL3	OCAD2_HUMAN	OCIAD2	OCIA domain-containing protein 2	1.17144e+06
Q587I9	SFT2C_HUMAN	SFT2D3	Vesicle transport protein SFT2C	2.67107e+06
Q58A45	PAN3_HUMAN	PAN3	PAN2-PAN3 deadenylation complex subunit PAN3	1.46288e+06
Q58FF6	H90B4_HUMAN	HSP90AB4P	Putative heat shock protein HSP 90-beta 4	1.14942e+07
Q58FF8	H90B2_HUMAN	HSP90AB2P	Putative heat shock protein HSP 90-beta 2	522438
Q5BJD5	TM41B_HUMAN	TMEM41B	Transmembrane protein 41B	7.93736e+06
Q5BKU9	OXLD1_HUMAN	OXLD1	Oxidoreductase-like domain-containing protein 1	3.68107e+06
Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326	1.05849e+07
Q5EB52	MEST_HUMAN	MEST	Mesoderm-specific transcript homolog protein	503597
Q5EBL4	RIPL1_HUMAN	RILPL1	RILP-like protein 1	1.76106e+06
Q5EBL8	PDZ11_HUMAN	PDZD11	PDZ domain-containing protein 11	1.28396e+07
Q5EBM0	CMPK2_HUMAN	CMPK2	UMP-CMP kinase 2, mitochondrial	3.12835e+06
Q5EG05	CAR16_HUMAN	CARD16	Caspase recruitment domain-containing protein 16	7.62469e+06
Q5F1R6	DJC21_HUMAN	DNAJC21	DnaJ homolog subfamily C member 21	1.97083e+06
Q5GLZ8	HERC4_HUMAN	HERC4	Probable E3 ubiquitin-protein ligase HERC4	5.38845e+06
Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	4.61509e+06
Q5HYC2	K2026_HUMAN	KIAA2026	Uncharacterized protein KIAA2026	3.93015e+07
Q5HYI8	RABL3_HUMAN	RABL3	Rab-like protein 3	3.70243e+06
Q5HYK3	COQ5_HUMAN	COQ5	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	4.2111e+06
Q5HYW2	NHSL2_HUMAN	NHSL2	NHS-like protein 2	2.59548e+06
Q5J8M3	EMC4_HUMAN	EMC4	ER membrane protein complex subunit 4	5.15681e+06
Q5JPE7	NOMO2_HUMAN	NOMO2	BOS complex subunit NOMO2	1.3341e+07
Q5JPH6	SYEM_HUMAN	EARS2	Probable glutamate--tRNA ligase, mitochondrial	3.3597e+06
Q5JPI3	CC038_HUMAN	C3orf38	Uncharacterized protein C3orf38	1.09087e+06
Q5JRA6	TGO1_HUMAN	MIA3	Transport and Golgi organization protein 1 homolog	4.244e+06
Q5JRX3	PREP_HUMAN	PITRM1	Presequence protease, mitochondrial	7.7188e+06
Q5JS37	NHLC3_HUMAN	NHLRC3	NHL repeat-containing protein 3	1.61427e+06
Q5JSH3	WDR44_HUMAN	WDR44	WD repeat-containing protein 44	4.57956e+06
Q5JSL3	DOC11_HUMAN	DOCK11	Dedicator of cytokinesis protein 11	5.16372e+06
Q5JSP0	FGD3_HUMAN	FGD3	FYVE, RhoGEF and PH domain-containing protein 3	697541
Q5JSZ5	PRC2B_HUMAN	PRRC2B	Protein PRRC2B	3.52088e+06
Q5JTB6	PLAC9_HUMAN	PLAC9	Placenta-specific protein 9	3.9947e+06
Q5JTD0	TJAP1_HUMAN	TJAP1	Tight junction-associated protein 1	1.50355e+06
Q5JTH9	RRP12_HUMAN	RRP12	RRP12-like protein	1.53369e+07
Q5JTV8	TOIP1_HUMAN	TOR1AIP1	Torsin-1A-interacting protein 1	3.09389e+07
Q5JTZ9	SYAM_HUMAN	AARS2	Alanine--tRNA ligase, mitochondrial	5.07596e+06
Q5JU69	TOR2A_HUMAN	TOR2A	Torsin-2A	1.29724e+06
Q5JVF3	PCID2_HUMAN	PCID2	PCI domain-containing protein 2	2.49644e+06
Q5JWF2	GNAS1_HUMAN	GNAS	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	2.40272e+07
Q5K4L6	S27A3_HUMAN	SLC27A3	Long-chain fatty acid transport protein 3	7.41218e+06
Q5K651	SAMD9_HUMAN	SAMD9	Sterile alpha motif domain-containing protein 9	7.49875e+06
Q5KU26	COL12_HUMAN	COLEC12	Collectin-12	2.8804e+06
Q5M775	CYTSB_HUMAN	SPECC1	Cytospin-B	1.95671e+06
Q5MNZ6	WIPI3_HUMAN	WDR45B	WD repeat domain phosphoinositide-interacting protein 3	874909
Q5MNZ9	WIPI1_HUMAN	WIPI1	WD repeat domain phosphoinositide-interacting protein 1	2.00405e+06
Q5NDL2	EOGT_HUMAN	EOGT	EGF domain-specific O-linked N-acetylglucosamine transferase	1.80392e+06
Q5NUL3	FFAR4_HUMAN	FFAR4	Free fatty acid receptor 4	5.20659e+06
Q5PRF9	SMAG2_HUMAN	SAMD4B	Protein Smaug homolog 2	1.55266e+06
Q5QJ74	TBCEL_HUMAN	TBCEL	Tubulin-specific chaperone cofactor E-like protein	1.20509e+06
Q5QJE6	TDIF2_HUMAN	DNTTIP2	Deoxynucleotidyltransferase terminal-interacting protein 2	2.68606e+06
Q5R372	RBG1L_HUMAN	RABGAP1L	Rab GTPase-activating protein 1-like	1.94183e+06
Q5R3I4	TTC38_HUMAN	TTC38	Tetratricopeptide repeat protein 38	7.86365e+06
Q5RKV6	EXOS6_HUMAN	EXOSC6	Exosome complex component MTR3	6.20846e+06
Q5SNT2	TM201_HUMAN	TMEM201	Transmembrane protein 201	430535
Q5SRE5	NU188_HUMAN	NUP188	Nucleoporin NUP188	9.8697e+06
Q5SRE7	PHYD1_HUMAN	PHYHD1	Phytanoyl-CoA dioxygenase domain-containing protein 1	1.46082e+06
Q5SSJ5	HP1B3_HUMAN	HP1BP3	Heterochromatin protein 1-binding protein 3	6.35713e+07
Q5SW79	CE170_HUMAN	CEP170	Centrosomal protein of 170 kDa	5.04149e+06
Q5SW96	ARH_HUMAN	LDLRAP1	Low density lipoprotein receptor adapter protein 1	6.58137e+06
Q5SWX8	ODR4_HUMAN	ODR4	Protein odr-4 homolog	2.68513e+06
Q5SXH7	PKHS1_HUMAN	PLEKHS1	Pleckstrin homology domain-containing family S member 1	9.58424e+06
Q5SY16	NOL9_HUMAN	NOL9	Polynucleotide 5'-hydroxyl-kinase NOL9	3.95779e+06
Q5SZD1	CF141_HUMAN	C6orf141	Uncharacterized protein C6orf141	1.09396e+07
Q5T011	SZT2_HUMAN	SZT2	KICSTOR complex protein SZT2	270436
Q5T013	HYI_HUMAN	HYI	Putative hydroxypyruvate isomerase	2.17999e+07
Q5T0D9	TPRGL_HUMAN	TPRG1L	Tumor protein p63-regulated gene 1-like protein	4.47893e+06
Q5T0F9	C2D1B_HUMAN	CC2D1B	Coiled-coil and C2 domain-containing protein 1B	2.49374e+06
Q5T0N5	FBP1L_HUMAN	FNBP1L	Formin-binding protein 1-like	860856
Q5T0W9	FA83B_HUMAN	FAM83B	Protein FAM83B	4.39634e+06
Q5T0Z8	CF132_HUMAN	C6orf132	Uncharacterized protein C6orf132	1.04603e+06
Q5T160	SYRM_HUMAN	RARS2	Probable arginine--tRNA ligase, mitochondrial	1.58638e+07
Q5T1C6	THEM4_HUMAN	THEM4	Acyl-coenzyme A thioesterase THEM4	862157
Q5T1M5	FKB15_HUMAN	FKBP15	FK506-binding protein 15	6.67738e+06
Q5T1V6	DDX59_HUMAN	DDX59	Probable ATP-dependent RNA helicase DDX59	1.13627e+06
Q5T200	ZC3HD_HUMAN	ZC3H13	Zinc finger CCCH domain-containing protein 13	2.39621e+06
Q5T280	CI114_HUMAN	SPOUT1	Putative methyltransferase C9orf114	1.91681e+06
Q5T2E6	ARMD3_HUMAN	ARMH3	Armadillo-like helical domain-containing protein 3	7.16571e+06
Q5T2T1	MPP7_HUMAN	MPP7	MAGUK p55 subfamily member 7	5.6379e+06
Q5T3F8	CSCL2_HUMAN	TMEM63B	CSC1-like protein 2	1.14629e+07
Q5T440	CAF17_HUMAN	IBA57	Putative transferase CAF17, mitochondrial	4.96008e+06
Q5T447	HECD3_HUMAN	HECTD3	E3 ubiquitin-protein ligase HECTD3	8.45042e+06
Q5T4S7	UBR4_HUMAN	UBR4	E3 ubiquitin-protein ligase UBR4	2.17902e+07
Q5T5C0	STXB5_HUMAN	STXBP5	Syntaxin-binding protein 5	2.20705e+06
Q5T5P2	SKT_HUMAN	KIAA1217	Sickle tail protein homolog	2.23599e+07
Q5T5U3	RHG21_HUMAN	ARHGAP21	Rho GTPase-activating protein 21	1.86029e+06
Q5T653	RM02_HUMAN	MRPL2	Large ribosomal subunit protein uL2m	3.24806e+06
Q5T6F2	UBAP2_HUMAN	UBAP2	Ubiquitin-associated protein 2	2.83543e+06
Q5T6V5	QNG1_HUMAN	QNG1	Queuosine 5'-phosphate N-glycosylase/hydrolase	5.77341e+06
Q5T7W0	ZN618_HUMAN	ZNF618	Zinc finger protein 618	6.83666e+06
Q5T8P6	RBM26_HUMAN	RBM26	RNA-binding protein 26	5.82073e+06
Q5T9C2	EEIG1_HUMAN	EEIG1	Early estrogen-induced gene 1 protein	584753
Q5T9L3	WLS_HUMAN	WLS	Protein wntless homolog	786636
Q5TA50	CPTP_HUMAN	CPTP	Ceramide-1-phosphate transfer protein	916699
Q5TAQ9	DCAF8_HUMAN	DCAF8	DDB1- and CUL4-associated factor 8	3.02421e+06
Q5TBB1	RNH2B_HUMAN	RNASEH2B	Ribonuclease H2 subunit B	6.07228e+06
Q5TC12	ATPF1_HUMAN	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	972144
Q5TCY1	TTBK1_HUMAN	TTBK1	Tau-tubulin kinase 1	1.33458e+07
Q5TCZ1	SPD2A_HUMAN	SH3PXD2A	SH3 and PX domain-containing protein 2A	4.451e+06
