Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\B20190315yix_KRUK_DIA_b1_13.mzML
Q16778	H2B2E_HUMAN	H2BC21	Histone H2B type 2-E	5.39617e+08
Q16787	LAMA3_HUMAN	LAMA3	Laminin subunit alpha-3	4.4901e+06
Q16790	CAH9_HUMAN	CA9	Carbonic anhydrase 9	1.25116e+07
Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	2.03404e+07
Q16798	MAON_HUMAN	ME3	NADP-dependent malic enzyme, mitochondrial	4.40976e+06
Q16822	PCKGM_HUMAN	PCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	3.77757e+07
Q16836	HCDH_HUMAN	HADH	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	4.18813e+07
Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase	2.76767e+07
Q16853	AOC3_HUMAN	AOC3	Membrane primary amine oxidase	8.65451e+07
Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F	3.77007e+07
Q16881	TRXR1_HUMAN	TXNRD1	Thioredoxin reductase 1, cytoplasmic	3.86739e+07
Q16890	TPD53_HUMAN	TPD52L1	Tumor protein D53	6.0948e+06
Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	8.69417e+07
Q1ED39	KNOP1_HUMAN	KNOP1	Lysine-rich nucleolar protein 1	1.50541e+06
Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	1.32626e+08
Q27J81	INF2_HUMAN	INF2	Inverted formin-2	8.32922e+06
Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A	1.91866e+07
Q2KHT3	CL16A_HUMAN	CLEC16A	Protein CLEC16A	3.28777e+07
Q2M2I3	FA83E_HUMAN	FAM83E	Protein FAM83E	3.06442e+06
Q2M2I8	AAK1_HUMAN	AAK1	AP2-associated protein kinase 1	1.25487e+07
Q2M389	WASC4_HUMAN	WASHC4	WASH complex subunit 4	2.89256e+06
Q2NL82	TSR1_HUMAN	TSR1	Pre-rRNA-processing protein TSR1 homolog	9.46463e+06
Q2PPJ7	RGPA2_HUMAN	RALGAPA2	Ral GTPase-activating protein subunit alpha-2	1.69319e+07
Q2TAA2	IAH1_HUMAN	IAH1	Isoamyl acetate-hydrolyzing esterase 1 homolog	3.32078e+07
Q2TAL8	QRIC1_HUMAN	QRICH1	Transcriptional regulator QRICH1	1.34859e+07
Q2TAY7	SMU1_HUMAN	SMU1	WD40 repeat-containing protein SMU1	2.05578e+07
Q30154	DRB5_HUMAN	HLA-DRB5	HLA class II histocompatibility antigen, DR beta 5 chain	8.2953e+06
Q32MZ4	LRRF1_HUMAN	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1	3.16947e+07
Q32P28	P3H1_HUMAN	P3H1	Prolyl 3-hydroxylase 1	1.24549e+07
Q32P41	TRM5_HUMAN	TRMT5	tRNA (guanine(37)-N1)-methyltransferase	1.95455e+07
Q32P44	EMAL3_HUMAN	EML3	Echinoderm microtubule-associated protein-like 3	5.08616e+06
Q3KQU3	MA7D1_HUMAN	MAP7D1	MAP7 domain-containing protein 1	4.97928e+06
Q3KQV9	UAP1L_HUMAN	UAP1L1	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	7.1347e+06
Q3LXA3	TKFC_HUMAN	TKFC	Triokinase/FMN cyclase	2.34323e+07
Q3MHD2	LSM12_HUMAN	LSM12	Protein LSM12	6.62448e+06
Q3SY69	AL1L2_HUMAN	ALDH1L2	Mitochondrial 10-formyltetrahydrofolate dehydrogenase	4.16268e+06
Q3T906	GNPTA_HUMAN	GNPTAB	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	3.92666e+06
Q3V6T2	GRDN_HUMAN	CCDC88A	Girdin	8.0527e+07
Q3YEC7	RABL6_HUMAN	RABL6	Rab-like protein 6	1.44707e+07
Q3ZCM7	TBB8_HUMAN	TUBB8	Tubulin beta-8 chain	7.03788e+07
Q3ZCQ8	TIM50_HUMAN	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50	1.62436e+07
Q460N5	PAR14_HUMAN	PARP14	Protein mono-ADP-ribosyltransferase PARP14	3.23513e+07
Q49A26	GLYR1_HUMAN	GLYR1	Cytokine-like nuclear factor N-PAC	1.13331e+07
Q49B96	COX19_HUMAN	COX19	Cytochrome c oxidase assembly protein COX19	5.51755e+06
Q4G0F5	VP26B_HUMAN	VPS26B	Vacuolar protein sorting-associated protein 26B	1.38092e+06
Q4G0J3	LARP7_HUMAN	LARP7	La-related protein 7	5.47453e+06
Q4G0N4	NAKD2_HUMAN	NADK2	NAD kinase 2, mitochondrial	1.7043e+07
Q4G176	ACSF3_HUMAN	ACSF3	Malonate--CoA ligase ACSF3, mitochondrial	562603
Q4J6C6	PPCEL_HUMAN	PREPL	Prolyl endopeptidase-like	1.38146e+06
Q4KMP7	TB10B_HUMAN	TBC1D10B	TBC1 domain family member 10B	3.41729e+06
Q4KMQ2	ANO6_HUMAN	ANO6	Anoctamin-6	1.25114e+07
Q4L180	FIL1L_HUMAN	FILIP1L	Filamin A-interacting protein 1-like	2.15303e+07
Q4U2R6	RM51_HUMAN	MRPL51	Large ribosomal subunit protein mL51	4.21142e+06
Q4V328	GRAP1_HUMAN	GRIPAP1	GRIP1-associated protein 1	7.56609e+06
Q4V9L6	TM119_HUMAN	TMEM119	Transmembrane protein 119	3.70772e+06
Q4VC31	MIX23_HUMAN	MIX23	Protein MIX23	2.04147e+07
Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B	2.71474e+07
Q53EL6	PDCD4_HUMAN	PDCD4	Programmed cell death protein 4	3.42828e+07
Q53F19	NCBP3_HUMAN	NCBP3	Nuclear cap-binding protein subunit 3	2.04161e+07
Q53FA7	QORX_HUMAN	TP53I3	Quinone oxidoreductase PIG3	7.97031e+06
Q53FT3	HIKES_HUMAN	HIKESHI	Protein Hikeshi	1.65374e+06
Q53GA4	PHLA2_HUMAN	PHLDA2	Pleckstrin homology-like domain family A member 2	351552
Q53GG5	PDLI3_HUMAN	PDLIM3	PDZ and LIM domain protein 3	2.32724e+08
Q53GL7	PAR10_HUMAN	PARP10	Protein mono-ADP-ribosyltransferase PARP10	2.58501e+06
Q53GQ0	DHB12_HUMAN	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase	4.03107e+07
Q53GS7	GLE1_HUMAN	GLE1	mRNA export factor GLE1	1.39167e+06
Q53GS9	UBP39_HUMAN	USP39	Ubiquitin carboxyl-terminal hydrolase 39	8.3488e+06
Q53H12	AGK_HUMAN	AGK	Acylglycerol kinase, mitochondrial	3.27523e+06
Q53H82	LACB2_HUMAN	LACTB2	Endoribonuclease LACTB2	4.44296e+06
Q53H96	P5CR3_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3	2.05085e+07
Q53HC0	CCD92_HUMAN	CCDC92	Coiled-coil domain-containing protein 92	8.43308e+06
Q53HC9	EIPR1_HUMAN	EIPR1	EARP and GARP complex-interacting protein 1	6.96267e+06
Q53HL2	BOREA_HUMAN	CDCA8	Borealin	2.646e+06
Q53HV7	SMUG1_HUMAN	SMUG1	Single-strand selective monofunctional uracil DNA glycosylase	1.60504e+06
Q53RY4	KCP3_HUMAN	KRTCAP3	Keratinocyte-associated protein 3	3.34419e+06
Q53SF7	COBL1_HUMAN	COBLL1	Cordon-bleu protein-like 1	6.98073e+07
Q53T59	H1BP3_HUMAN	HS1BP3	HCLS1-binding protein 3	1.11912e+07
Q53TN4	CYBR1_HUMAN	CYBRD1	Plasma membrane ascorbate-dependent reductase CYBRD1	3.71868e+07
Q562R1	ACTBL_HUMAN	ACTBL2	Beta-actin-like protein 2	3.33121e+09
Q567U6	CCD93_HUMAN	CCDC93	Coiled-coil domain-containing protein 93	2.13319e+07
Q56A73	SPIN4_HUMAN	SPIN4	Spindlin-4	3.7515e+06
Q58FF6	H90B4_HUMAN	HSP90AB4P	Putative heat shock protein HSP 90-beta 4	4.74466e+07
Q5BJD5	TM41B_HUMAN	TMEM41B	Transmembrane protein 41B	5.36715e+06
Q5BJH7	YIF1B_HUMAN	YIF1B	Protein YIF1B	3.62619e+06
Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326	9.33305e+06
Q5EBL4	RIPL1_HUMAN	RILPL1	RILP-like protein 1	335548
Q5EBL8	PDZ11_HUMAN	PDZD11	PDZ domain-containing protein 11	6.41944e+06
Q5EBM0	CMPK2_HUMAN	CMPK2	UMP-CMP kinase 2, mitochondrial	5.34078e+06
Q5EG05	CAR16_HUMAN	CARD16	Caspase recruitment domain-containing protein 16	1.29442e+07
Q5F1R6	DJC21_HUMAN	DNAJC21	DnaJ homolog subfamily C member 21	8.09401e+06
Q5GLZ8	HERC4_HUMAN	HERC4	Probable E3 ubiquitin-protein ligase HERC4	6.16168e+06
Q5H9F3	BCORL_HUMAN	BCORL1	BCL-6 corepressor-like protein 1	2.96849e+07
Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	5.44034e+06
Q5HYI8	RABL3_HUMAN	RABL3	Rab-like protein 3	905641
Q5HYK3	COQ5_HUMAN	COQ5	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	7.35152e+06
Q5HYW2	NHSL2_HUMAN	NHSL2	NHS-like protein 2	1.61349e+06
Q5J8M3	EMC4_HUMAN	EMC4	ER membrane protein complex subunit 4	5.70911e+06
Q5JPE7	NOMO2_HUMAN	NOMO2	BOS complex subunit NOMO2	2.36459e+07
Q5JPI9	EFMT2_HUMAN	EEF1AKMT2	EEF1A lysine methyltransferase 2	1.01621e+06
Q5JRA6	TGO1_HUMAN	MIA3	Transport and Golgi organization protein 1 homolog	2.06796e+07
Q5JRX3	PREP_HUMAN	PITRM1	Presequence protease, mitochondrial	3.97918e+07
Q5JSH3	WDR44_HUMAN	WDR44	WD repeat-containing protein 44	1.18983e+07
Q5JSL3	DOC11_HUMAN	DOCK11	Dedicator of cytokinesis protein 11	1.88642e+06
Q5JSZ5	PRC2B_HUMAN	PRRC2B	Protein PRRC2B	8.21577e+06
Q5JTB6	PLAC9_HUMAN	PLAC9	Placenta-specific protein 9	7.62363e+06
Q5JTH9	RRP12_HUMAN	RRP12	RRP12-like protein	2.00373e+07
Q5JTJ3	COA6_HUMAN	COA6	Cytochrome c oxidase assembly factor 6 homolog	6.71915e+06
Q5JTV8	TOIP1_HUMAN	TOR1AIP1	Torsin-1A-interacting protein 1	3.5435e+07
Q5JTZ9	SYAM_HUMAN	AARS2	Alanine--tRNA ligase, mitochondrial	5.59194e+06
Q5JWF2	GNAS1_HUMAN	GNAS	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	1.86054e+07
Q5JY77	GASP1_HUMAN	GPRASP1	G-protein coupled receptor-associated sorting protein 1	1.15629e+08
Q5K4L6	S27A3_HUMAN	SLC27A3	Long-chain fatty acid transport protein 3	1.74729e+06
Q5K651	SAMD9_HUMAN	SAMD9	Sterile alpha motif domain-containing protein 9	9.13525e+06
Q5M775	CYTSB_HUMAN	SPECC1	Cytospin-B	2.68271e+07
Q5MNZ9	WIPI1_HUMAN	WIPI1	WD repeat domain phosphoinositide-interacting protein 1	3.98903e+06
Q5NDL2	EOGT_HUMAN	EOGT	EGF domain-specific O-linked N-acetylglucosamine transferase	4.54889e+06
Q5NUL3	FFAR4_HUMAN	FFAR4	Free fatty acid receptor 4	7.72534e+06
Q5PRF9	SMAG2_HUMAN	SAMD4B	Protein Smaug homolog 2	748627
Q5QJE6	TDIF2_HUMAN	DNTTIP2	Deoxynucleotidyltransferase terminal-interacting protein 2	5.14701e+07
Q5R3I4	TTC38_HUMAN	TTC38	Tetratricopeptide repeat protein 38	1.57692e+07
Q5RKV6	EXOS6_HUMAN	EXOSC6	Exosome complex component MTR3	7.50821e+06
Q5SRE5	NU188_HUMAN	NUP188	Nucleoporin NUP188	8.08276e+06
Q5SSJ5	HP1B3_HUMAN	HP1BP3	Heterochromatin protein 1-binding protein 3	5.86308e+07
Q5SW79	CE170_HUMAN	CEP170	Centrosomal protein of 170 kDa	3.60251e+06
Q5SYE7	NHSL1_HUMAN	NHSL1	NHS-like protein 1	6.30771e+06
Q5T013	HYI_HUMAN	HYI	Putative hydroxypyruvate isomerase	1.53529e+06
Q5T0F9	C2D1B_HUMAN	CC2D1B	Coiled-coil and C2 domain-containing protein 1B	1.71663e+06
Q5T0N5	FBP1L_HUMAN	FNBP1L	Formin-binding protein 1-like	1.69716e+07
Q5T1M5	FKB15_HUMAN	FKBP15	FK506-binding protein 15	1.2225e+07
Q5T200	ZC3HD_HUMAN	ZC3H13	Zinc finger CCCH domain-containing protein 13	4.92494e+06
Q5T447	HECD3_HUMAN	HECTD3	E3 ubiquitin-protein ligase HECTD3	4.70638e+07
Q5T4S7	UBR4_HUMAN	UBR4	E3 ubiquitin-protein ligase UBR4	2.05847e+07
Q5T5C0	STXB5_HUMAN	STXBP5	Syntaxin-binding protein 5	8.05149e+06
Q5T5P2	SKT_HUMAN	KIAA1217	Sickle tail protein homolog	1.48163e+06
Q5T653	RM02_HUMAN	MRPL2	Large ribosomal subunit protein uL2m	1.13401e+07
Q5T6F2	UBAP2_HUMAN	UBAP2	Ubiquitin-associated protein 2	5.35289e+06
Q5T6J7	GNTK_HUMAN	IDNK	Probable gluconokinase	166467
Q5T6V5	QNG1_HUMAN	QNG1	Queuosine 5'-phosphate N-glycosylase/hydrolase	7.56956e+07
Q5T764	IFT1B_HUMAN	IFIT1B	Interferon-induced protein with tetratricopeptide repeats 1B	4.76679e+06
Q5T8D3	ACBD5_HUMAN	ACBD5	Acyl-CoA-binding domain-containing protein 5	1.02484e+07
Q5T8P6	RBM26_HUMAN	RBM26	RNA-binding protein 26	7.03754e+06
Q5T9A4	ATD3B_HUMAN	ATAD3B	ATPase family AAA domain-containing protein 3B	2.15896e+06
Q5TAQ9	DCAF8_HUMAN	DCAF8	DDB1- and CUL4-associated factor 8	4.06494e+06
Q5TCZ1	SPD2A_HUMAN	SH3PXD2A	SH3 and PX domain-containing protein 2A	8.15103e+06
Q5TDH0	DDI2_HUMAN	DDI2	Protein DDI1 homolog 2	1.34756e+07
Q5TEJ8	THMS2_HUMAN	THEMIS2	Protein THEMIS2	4.07159e+06
Q5TFE4	NT5D1_HUMAN	NT5DC1	5'-nucleotidase domain-containing protein 1	8.46974e+06
Q5TH69	BIG3_HUMAN	ARFGEF3	Brefeldin A-inhibited guanine nucleotide-exchange protein 3	1.56263e+06
Q5TZA2	CROCC_HUMAN	CROCC	Rootletin	7.11727e+06
Q5U5X0	LYRM7_HUMAN	LYRM7	Complex III assembly factor LYRM7	7.81858e+06
Q5U651	RAIN_HUMAN	RASIP1	Ras-interacting protein 1	1.2743e+06
Q5UCC4	EMC10_HUMAN	EMC10	ER membrane protein complex subunit 10	2.76562e+06
Q5UIP0	RIF1_HUMAN	RIF1	Telomere-associated protein RIF1	6.2061e+06
Q5VSL9	STRP1_HUMAN	STRIP1	Striatin-interacting protein 1	9.82982e+06
Q5VT25	MRCKA_HUMAN	CDC42BPA	Serine/threonine-protein kinase MRCK alpha	4.77997e+06
Q5VT52	RPRD2_HUMAN	RPRD2	Regulation of nuclear pre-mRNA domain-containing protein 2	3.91427e+06
Q5VTB9	RN220_HUMAN	RNF220	E3 ubiquitin-protein ligase RNF220	5.40104e+06
Q5VTL8	PR38B_HUMAN	PRPF38B	Pre-mRNA-splicing factor 38B	1.6009e+07
Q5VTR2	BRE1A_HUMAN	RNF20	E3 ubiquitin-protein ligase BRE1A	2.38326e+07
Q5VU43	MYOME_HUMAN	PDE4DIP	Myomegalin	9.73073e+06
Q5VU97	CAHD1_HUMAN	CACHD1	VWFA and cache domain-containing protein 1	1.87856e+06
Q5VUA4	ZN318_HUMAN	ZNF318	Zinc finger protein 318	1.48838e+06
Q5VV41	ARHGG_HUMAN	ARHGEF16	Rho guanine nucleotide exchange factor 16	2.19933e+07
Q5VW32	BROX_HUMAN	BROX	BRO1 domain-containing protein BROX	1.4433e+07
Q5VWQ8	DAB2P_HUMAN	DAB2IP	Disabled homolog 2-interacting protein	2.98445e+06
Q5VWZ2	LYPL1_HUMAN	LYPLAL1	Lysophospholipase-like protein 1	2.662e+06
Q5VYK3	ECM29_HUMAN	ECPAS	Proteasome adapter and scaffold protein ECM29	3.45445e+07
Q5VYY1	ANR22_HUMAN	ANKRD22	Ankyrin repeat domain-containing protein 22	2.0888e+06
Q5VZ89	DEN4C_HUMAN	DENND4C	DENN domain-containing protein 4C	7.49531e+06
Q5VZK9	CARL1_HUMAN	CARMIL1	F-actin-uncapping protein LRRC16A	9.56238e+06
Q5W0V3	FHI2A_HUMAN	FHIP2A	FHF complex subunit HOOK interacting protein 2A	4.31654e+06
Q5XPI4	RN123_HUMAN	RNF123	E3 ubiquitin-protein ligase RNF123	1.40171e+06
Q63HM1	KFA_HUMAN	AFMID	Kynurenine formamidase	1.39289e+06
Q63HN8	RN213_HUMAN	RNF213	E3 ubiquitin-protein ligase RNF213	4.29963e+07
Q63HR2	TENS2_HUMAN	TNS2	Tensin-2	6.31181e+07
Q63ZY3	KANK2_HUMAN	KANK2	KN motif and ankyrin repeat domain-containing protein 2	7.53975e+07
Q641Q2	WAC2A_HUMAN	WASHC2A	WASH complex subunit 2A	9.41628e+06
Q643R3	LPCT4_HUMAN	LPCAT4	Lysophospholipid acyltransferase LPCAT4	3.2829e+06
Q658Y4	F91A1_HUMAN	FAM91A1	Protein FAM91A1	3.0648e+06
Q659C4	LAR1B_HUMAN	LARP1B	La-related protein 1B	1.42678e+06
Q66K14	TBC9B_HUMAN	TBC1D9B	TBC1 domain family member 9B	3.87e+06
Q66K74	MAP1S_HUMAN	MAP1S	Microtubule-associated protein 1S	6.31333e+07
Q66PJ3	AR6P4_HUMAN	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4	1.51723e+07
Q676U5	A16L1_HUMAN	ATG16L1	Autophagy-related protein 16-1	6.16639e+06
Q684P5	RPGP2_HUMAN	RAP1GAP2	Rap1 GTPase-activating protein 2	1.00462e+06
Q68CP9	ARID2_HUMAN	ARID2	AT-rich interactive domain-containing protein 2	4.27545e+06
Q68CZ2	TENS3_HUMAN	TNS3	Tensin-3	1.8584e+07
Q68DU8	KCD16_HUMAN	KCTD16	BTB/POZ domain-containing protein KCTD16	1.54365e+07
Q68E01	INT3_HUMAN	INTS3	Integrator complex subunit 3	2.45177e+06
Q68EM7	RHG17_HUMAN	ARHGAP17	Rho GTPase-activating protein 17	1.24728e+07
Q69YL0	NCAS2_HUMAN	NCBP2AS2	Protein NCBP2AS2	1.65463e+06
Q69YQ0	CYTSA_HUMAN	SPECC1L	Cytospin-A	2.81614e+07
Q69YW2	STUM_HUMAN	STUM	Protein stum homolog	8.66705e+06
Q6BCY4	NB5R2_HUMAN	CYB5R2	NADH-cytochrome b5 reductase 2	4.53951e+06
Q6BDS2	BLT3A_HUMAN	BLTP3A	Bridge-like lipid transfer protein family member 3A	3.1041e+08
Q6DD88	ATLA3_HUMAN	ATL3	Atlastin-3	3.99642e+07
Q6DKI1	RL7L_HUMAN	RPL7L1	Ribosomal protein uL30-like	8.78376e+06
Q6DKJ4	NXN_HUMAN	NXN	Nucleoredoxin	265069
Q6DN90	IQEC1_HUMAN	IQSEC1	IQ motif and SEC7 domain-containing protein 1	2.8445e+06
Q6EEV4	GL1AD_HUMAN	POLR2M	DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5	7.45165e+06
Q6FI13	H2A2A_HUMAN	H2AC18	Histone H2A type 2-A	7.25284e+09
Q6FI81	CPIN1_HUMAN	CIAPIN1	Anamorsin	3.72735e+07
Q6GMV3	PTRD1_HUMAN	PTRHD1	Putative peptidyl-tRNA hydrolase PTRHD1	1.65772e+07
Q6GQQ9	OTU7B_HUMAN	OTUD7B	OTU domain-containing protein 7B	1.12689e+07
Q6I9Y2	THOC7_HUMAN	THOC7	THO complex subunit 7 homolog	7.48843e+06
Q6IA17	SIGIR_HUMAN	SIGIRR	Single Ig IL-1-related receptor	4.45336e+06
Q6IAA8	LTOR1_HUMAN	LAMTOR1	Ragulator complex protein LAMTOR1	3.3589e+07
Q6IAN0	DRS7B_HUMAN	DHRS7B	Dehydrogenase/reductase SDR family member 7B	4.41919e+06
Q6IBS0	TWF2_HUMAN	TWF2	Twinfilin-2	4.06471e+07
Q6IC98	GRAM4_HUMAN	GRAMD4	GRAM domain-containing protein 4	2.50148e+08
Q6ICL3	TNG2_HUMAN	TANGO2	Transport and Golgi organization protein 2 homolog	4.65123e+06
Q6IN85	P4R3A_HUMAN	PPP4R3A	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	5.63932e+06
Q6IQ22	RAB12_HUMAN	RAB12	Ras-related protein Rab-12	2.1173e+06
Q6IQ23	PKHA7_HUMAN	PLEKHA7	Pleckstrin homology domain-containing family A member 7	4.27345e+07
Q6IQ49	SDE2_HUMAN	SDE2	Splicing regulator SDE2	1.95188e+06
Q6JBY9	CPZIP_HUMAN	RCSD1	CapZ-interacting protein	8.7193e+06
Q6JQN1	ACD10_HUMAN	ACAD10	Acyl-CoA dehydrogenase family member 10	7.86044e+06
Q6KC79	NIPBL_HUMAN	NIPBL	Nipped-B-like protein	2.8291e+06
Q6L8Q7	PDE12_HUMAN	PDE12	2',5'-phosphodiesterase 12	4.87146e+07
Q6N022	TEN4_HUMAN	TENM4	Teneurin-4	2.91745e+07
Q6NUK1	SCMC1_HUMAN	SLC25A24	Mitochondrial adenyl nucleotide antiporter SLC25A24	1.51523e+07
Q6NUK4	REEP3_HUMAN	REEP3	Receptor expression-enhancing protein 3	5.76085e+06
Q6NUQ4	TM214_HUMAN	TMEM214	Transmembrane protein 214	9.63366e+06
Q6NVY1	HIBCH_HUMAN	HIBCH	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	3.22576e+07
Q6NW29	RWDD4_HUMAN	RWDD4	RWD domain-containing protein 4	3.96826e+06
Q6NXG1	ESRP1_HUMAN	ESRP1	Epithelial splicing regulatory protein 1	1.77058e+07
Q6NXR4	TTI2_HUMAN	TTI2	TELO2-interacting protein 2	413753
Q6NYC1	JMJD6_HUMAN	JMJD6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	3.41766e+06
Q6NYC8	PPR18_HUMAN	PPP1R18	Phostensin	2.1257e+07
Q6NZ67	MZT2B_HUMAN	MZT2B	Mitotic-spindle organizing protein 2B	1.19742e+07
Q6NZI2	CAVN1_HUMAN	CAVIN1	Caveolae-associated protein 1	3.84003e+08
Q6NZY4	ZCHC8_HUMAN	ZCCHC8	Zinc finger CCHC domain-containing protein 8	9.45216e+06
Q6NZY7	BORG3_HUMAN	CDC42EP5	Cdc42 effector protein 5	1.66613e+07
Q6P0N0	M18BP_HUMAN	MIS18BP1	Mis18-binding protein 1	8.30489e+07
Q6P158	DHX57_HUMAN	DHX57	Putative ATP-dependent RNA helicase DHX57	1.31606e+06
Q6P1J9	CDC73_HUMAN	CDC73	Parafibromin	1.82994e+07
Q6P1L8	RM14_HUMAN	MRPL14	Large ribosomal subunit protein uL14m	1.1681e+07
Q6P1M0	S27A4_HUMAN	SLC27A4	Long-chain fatty acid transport protein 4	9.49981e+06
Q6P1M3	L2GL2_HUMAN	LLGL2	LLGL scribble cell polarity complex component 2	2.87348e+07
Q6P1N0	C2D1A_HUMAN	CC2D1A	Coiled-coil and C2 domain-containing protein 1A	1.85335e+07
Q6P1N9	TATD1_HUMAN	TATDN1	Deoxyribonuclease TATDN1	1.25335e+07
Q6P1Q9	MET2B_HUMAN	METTL2B	tRNA N(3)-methylcytidine methyltransferase METTL2B	4.04127e+06
Q6P2E9	EDC4_HUMAN	EDC4	Enhancer of mRNA-decapping protein 4	9.73643e+06
Q6P2Q9	PRP8_HUMAN	PRPF8	Pre-mRNA-processing-splicing factor 8	4.78379e+07
Q6P3W7	SCYL2_HUMAN	SCYL2	SCY1-like protein 2	9.85013e+06
Q6P3X3	TTC27_HUMAN	TTC27	Tetratricopeptide repeat protein 27	1.1245e+07
Q6P4A8	PLBL1_HUMAN	PLBD1	Phospholipase B-like 1	4.71654e+07
Q6P4E1	GOLM2_HUMAN	GOLM2	Protein GOLM2	6.9313e+06
Q6P4F2	FDX2_HUMAN	FDX2	Ferredoxin-2, mitochondrial	1.19246e+06
Q6P582	MZT2A_HUMAN	MZT2A	Mitotic-spindle organizing protein 2A	8.03814e+06
Q6P587	FAHD1_HUMAN	FAHD1	Acylpyruvase FAHD1, mitochondrial	5.11734e+06
Q6P589	TP8L2_HUMAN	TNFAIP8L2	Tumor necrosis factor alpha-induced protein 8-like protein 2	922354
Q6P996	PDXD1_HUMAN	PDXDC1	Pyridoxal-dependent decarboxylase domain-containing protein 1	6.69001e+07
Q6P9B6	MEAK7_HUMAN	MEAK7	MTOR-associated protein MEAK7	9.93742e+06
Q6PCB0	VWA1_HUMAN	VWA1	von Willebrand factor A domain-containing protein 1	1.31548e+08
Q6PCB7	S27A1_HUMAN	SLC27A1	Long-chain fatty acid transport protein 1	2.31451e+06
Q6PD62	CTR9_HUMAN	CTR9	RNA polymerase-associated protein CTR9 homolog	1.12066e+07
Q6PD74	AAGAB_HUMAN	AAGAB	Alpha- and gamma-adaptin-binding protein p34	1.16287e+07
Q6PGP7	SKI3_HUMAN	SKIC3	Superkiller complex protein 3	5.22064e+06
Q6PI48	SYDM_HUMAN	DARS2	Aspartate--tRNA ligase, mitochondrial	7.91317e+06
Q6PID6	TTC33_HUMAN	TTC33	Tetratricopeptide repeat protein 33	1.93266e+06
Q6PII3	CC174_HUMAN	CCDC174	Coiled-coil domain-containing protein 174	5.89821e+06
Q6PIU2	NCEH1_HUMAN	NCEH1	Neutral cholesterol ester hydrolase 1	1.36285e+07
Q6PJT7	ZC3HE_HUMAN	ZC3H14	Zinc finger CCCH domain-containing protein 14	1.55036e+07
Q6PKG0	LARP1_HUMAN	LARP1	La-related protein 1	2.47268e+07
Q6PL18	ATAD2_HUMAN	ATAD2	ATPase family AAA domain-containing protein 2	1.25999e+07
Q6PML9	ZNT9_HUMAN	SLC30A9	Proton-coupled zinc antiporter SLC30A9, mitochondrial	8.52007e+06
Q6QNY0	BL1S3_HUMAN	BLOC1S3	Biogenesis of lysosome-related organelles complex 1 subunit 3	4.22751e+06
Q6QNY1	BL1S2_HUMAN	BLOC1S2	Biogenesis of lysosome-related organelles complex 1 subunit 2	8.55892e+06
Q6RFH5	WDR74_HUMAN	WDR74	WD repeat-containing protein 74	9.6984e+06
Q6SZW1	SARM1_HUMAN	SARM1	NAD(+) hydrolase SARM1	2.28437e+06
Q6TCH7	PAQR3_HUMAN	PAQR3	Progestin and adipoQ receptor family member 3	1.65432e+08
Q6UB35	C1TM_HUMAN	MTHFD1L	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	7.19111e+06
Q6ULP2	AFTIN_HUMAN	AFTPH	Aftiphilin	5.92247e+06
Q6UN15	FIP1_HUMAN	FIP1L1	Pre-mRNA 3'-end-processing factor FIP1	1.34923e+07
Q6UUV7	CRTC3_HUMAN	CRTC3	CREB-regulated transcription coactivator 3	2.4494e+06
Q6UVK1	CSPG4_HUMAN	CSPG4	Chondroitin sulfate proteoglycan 4	1.15104e+08
Q6UW02	CP20A_HUMAN	CYP20A1	Cytochrome P450 20A1	4.92279e+06
Q6UW68	TM205_HUMAN	TMEM205	Transmembrane protein 205	8.78998e+06
