Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_11.mzML
Q13405	RM49_HUMAN	MRPL49	Large ribosomal subunit protein mL49	2.17282e+06
Q13409	DC1I2_HUMAN	DYNC1I2	Cytoplasmic dynein 1 intermediate chain 2	1.50074e+07
Q13418	ILK_HUMAN	ILK	Integrin-linked protein kinase	1.7919e+07
Q13422	IKZF1_HUMAN	IKZF1	DNA-binding protein Ikaros	3.68692e+06
Q13423	NNTM_HUMAN	NNT	NAD(P) transhydrogenase, mitochondrial	4.91888e+06
Q13425	SNTB2_HUMAN	SNTB2	Beta-2-syntrophin	5.80917e+06
Q13426	XRCC4_HUMAN	XRCC4	DNA repair protein XRCC4	724925
Q13427	PPIG_HUMAN	PPIG	Peptidyl-prolyl cis-trans isomerase G	3.81492e+06
Q13428	TCOF_HUMAN	TCOF1	Treacle protein	5.62248e+06
Q13435	SF3B2_HUMAN	SF3B2	Splicing factor 3B subunit 2	1.24218e+07
Q13438	OS9_HUMAN	OS9	Protein OS-9	1.56769e+06
Q13439	GOGA4_HUMAN	GOLGA4	Golgin subfamily A member 4	932400
Q13442	HAP28_HUMAN	PDAP1	28 kDa heat- and acid-stable phosphoprotein	1.45577e+07
Q13445	TMED1_HUMAN	TMED1	Transmembrane emp24 domain-containing protein 1	5.62066e+06
Q13451	FKBP5_HUMAN	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5	1.03432e+07
Q13459	MYO9B_HUMAN	MYO9B	Unconventional myosin-IXb	2.44077e+06
Q13464	ROCK1_HUMAN	ROCK1	Rho-associated protein kinase 1	1.75565e+07
Q13469	NFAC2_HUMAN	NFATC2	Nuclear factor of activated T-cells, cytoplasmic 2	2.05949e+06
Q13488	VPP3_HUMAN	TCIRG1	V-type proton ATPase 116 kDa subunit a 3	7.77363e+06
Q13492	PICAL_HUMAN	PICALM	Phosphatidylinositol-binding clathrin assembly protein	7.9771e+06
Q13496	MTM1_HUMAN	MTM1	Myotubularin	1.93337e+06
Q13501	SQSTM_HUMAN	SQSTM1	Sequestosome-1	8.21355e+06
Q13505	MTX1_HUMAN	MTX1	Metaxin-1	1.85018e+06
Q13509	TBB3_HUMAN	TUBB3	Tubulin beta-3 chain	3.66805e+07
Q13510	ASAH1_HUMAN	ASAH1	Acid ceramidase	7.80587e+06
Q13523	PRP4B_HUMAN	PRPF4B	Serine/threonine-protein kinase PRP4 homolog	2.1104e+06
Q13526	PIN1_HUMAN	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	1.41373e+07
Q13541	4EBP1_HUMAN	EIF4EBP1	Eukaryotic translation initiation factor 4E-binding protein 1	503986
Q13546	RIPK1_HUMAN	RIPK1	Receptor-interacting serine/threonine-protein kinase 1	2.88881e+06
Q13547	HDAC1_HUMAN	HDAC1	Histone deacetylase 1	4.07951e+07
Q13555	KCC2G_HUMAN	CAMK2G	Calcium/calmodulin-dependent protein kinase type II subunit gamma	2.6363e+06
Q13557	KCC2D_HUMAN	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta	1.00813e+07
Q13561	DCTN2_HUMAN	DCTN2	Dynactin subunit 2	2.34057e+07
Q13564	ULA1_HUMAN	NAE1	NEDD8-activating enzyme E1 regulatory subunit	3.03186e+06
Q13568	IRF5_HUMAN	IRF5	Interferon regulatory factor 5	476191
Q13573	SNW1_HUMAN	SNW1	SNW domain-containing protein 1	6.0762e+06
Q13574	DGKZ_HUMAN	DGKZ	Diacylglycerol kinase zeta	1.22958e+06
Q13576	IQGA2_HUMAN	IQGAP2	Ras GTPase-activating-like protein IQGAP2	4.57478e+06
Q13586	STIM1_HUMAN	STIM1	Stromal interaction molecule 1	7.6069e+06
Q13588	GRAP_HUMAN	GRAP	GRB2-related adapter protein	2.75731e+06
Q13595	TRA2A_HUMAN	TRA2A	Transformer-2 protein homolog alpha	9.02131e+06
Q13596	SNX1_HUMAN	SNX1	Sorting nexin-1	1.22698e+07
Q13601	KRR1_HUMAN	KRR1	KRR1 small subunit processome component homolog	1.6125e+07
Q13610	PWP1_HUMAN	PWP1	Periodic tryptophan protein 1 homolog	1.96696e+06
Q13613	MTMR1_HUMAN	MTMR1	Myotubularin-related protein 1	800275
Q13616	CUL1_HUMAN	CUL1	Cullin-1	3.86075e+06
Q13617	CUL2_HUMAN	CUL2	Cullin-2	3.84459e+06
Q13618	CUL3_HUMAN	CUL3	Cullin-3	3.29388e+06
Q13619	CUL4A_HUMAN	CUL4A	Cullin-4A	2.22014e+06
Q13620	CUL4B_HUMAN	CUL4B	Cullin-4B	5.13034e+06
Q13625	ASPP2_HUMAN	TP53BP2	Apoptosis-stimulating of p53 protein 2	919273
Q13630	FCL_HUMAN	GFUS	GDP-L-fucose synthase	1.49859e+07
Q13636	RAB31_HUMAN	RAB31	Ras-related protein Rab-31	4.4449e+06
Q13637	RAB32_HUMAN	RAB32	Ras-related protein Rab-32	3.93218e+06
Q13641	TPBG_HUMAN	TPBG	Trophoblast glycoprotein	2.26745e+06
Q13642	FHL1_HUMAN	FHL1	Four and a half LIM domains protein 1	4.78683e+06
Q13643	FHL3_HUMAN	FHL3	Four and a half LIM domains protein 3	2.62955e+06
Q13671	RIN1_HUMAN	RIN1	Ras and Rab interactor 1	2.04163e+06
Q13685	AAMP_HUMAN	AAMP	Angio-associated migratory cell protein	2.14868e+06
Q13724	MOGS_HUMAN	MOGS	Mannosyl-oligosaccharide glucosidase	7.83316e+06
Q13751	LAMB3_HUMAN	LAMB3	Laminin subunit beta-3	5.53596e+06
Q13753	LAMC2_HUMAN	LAMC2	Laminin subunit gamma-2	6.75889e+06
Q13761	RUNX3_HUMAN	RUNX3	Runt-related transcription factor 3	932186
Q13769	THOC5_HUMAN	THOC5	THO complex subunit 5 homolog	1.62923e+06
Q13796	SHRM2_HUMAN	SHROOM2	Protein Shroom2	247344
Q13813	SPTN1_HUMAN	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	2.47212e+07
Q13825	AUHM_HUMAN	AUH	Methylglutaconyl-CoA hydratase, mitochondrial	3.0935e+06
Q13835	PKP1_HUMAN	PKP1	Plakophilin-1	2.47757e+07
Q13838	DX39B_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B	9.87839e+07
Q13867	BLMH_HUMAN	BLMH	Bleomycin hydrolase	5.06677e+06
Q13868	EXOS2_HUMAN	EXOSC2	Exosome complex component RRP4	2.42226e+06
Q13884	SNTB1_HUMAN	SNTB1	Beta-1-syntrophin	679199
Q13885	TBB2A_HUMAN	TUBB2A	Tubulin beta-2A chain	1.05369e+07
Q13888;Q6P1K8	T2H2L_HUMAN;TF2H2_HUMAN	GTF2H2;GTF2H2C	General transcription factor IIH subunit 2	854777
Q13895	BYST_HUMAN	BYSL	Bystin	1.30699e+06
Q13907	IDI1_HUMAN	IDI1	Isopentenyl-diphosphate Delta-isomerase 1	1.78338e+06
Q13938	CAYP1_HUMAN	CAPS	Calcyphosin	1.23047e+07
Q13948	CASP_HUMAN	CUX1	Protein CASP	7.17018e+06
Q13951	PEBB_HUMAN	CBFB	Core-binding factor subunit beta	6.73114e+06
Q13952	NFYC_HUMAN	NFYC	Nuclear transcription factor Y subunit gamma	2.13111e+06
Q13976	KGP1_HUMAN	PRKG1	cGMP-dependent protein kinase 1	7.61446e+06
Q14004	CDK13_HUMAN	CDK13	Cyclin-dependent kinase 13	1.70255e+06
Q14005	IL16_HUMAN	IL16	Pro-interleukin-16	2.03621e+07
Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5	2.69503e+06
Q14011	CIRBP_HUMAN	CIRBP	Cold-inducible RNA-binding protein	1.9719e+07
Q14012	KCC1A_HUMAN	CAMK1	Calcium/calmodulin-dependent protein kinase type 1	621252
Q14019	COTL1_HUMAN	COTL1	Coactosin-like protein	3.91916e+07
Q14103	HNRPD_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	1.37505e+08
Q14108	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2	9.04656e+06
Q14112	NID2_HUMAN	NID2	Nidogen-2	2.69143e+07
Q14116	IL18_HUMAN	IL18	Interleukin-18	5.77671e+06
Q14126	DSG2_HUMAN	DSG2	Desmoglein-2	1.13679e+07
Q14134	TRI29_HUMAN	TRIM29	Tripartite motif-containing protein 29	1.4983e+07
Q14137	BOP1_HUMAN	BOP1	Ribosome biogenesis protein BOP1	7.05144e+06
Q14139	UBE4A_HUMAN	UBE4A	Ubiquitin conjugation factor E4 A	2.1933e+06
Q14141	SEPT6_HUMAN	SEPTIN6	Septin-6	9.92662e+06
Q14142	TRI14_HUMAN	TRIM14	Tripartite motif-containing protein 14	929037
Q14145	KEAP1_HUMAN	KEAP1	Kelch-like ECH-associated protein 1	1.6555e+06
Q14146	URB2_HUMAN	URB2	Unhealthy ribosome biogenesis protein 2 homolog	551992
Q14149	MORC3_HUMAN	MORC3	MORC family CW-type zinc finger protein 3	1.22427e+06
Q14151	SAFB2_HUMAN	SAFB2	Scaffold attachment factor B2	5.11064e+06
Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A	1.89443e+07
Q14155	ARHG7_HUMAN	ARHGEF7	Rho guanine nucleotide exchange factor 7	5.15361e+06
Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like	4.72854e+06
Q14160	SCRIB_HUMAN	SCRIB	Protein scribble homolog	3.01006e+06
Q14161	GIT2_HUMAN	GIT2	ARF GTPase-activating protein GIT2	2.51345e+07
Q14165	MLEC_HUMAN	MLEC	Malectin	9.0312e+06
Q14166	TTL12_HUMAN	TTLL12	Tubulin--tyrosine ligase-like protein 12	1.22106e+07
Q14185	DOCK1_HUMAN	DOCK1	Dedicator of cytokinesis protein 1	643928
Q14192	FHL2_HUMAN	FHL2	Four and a half LIM domains protein 2	8.63372e+06
Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	2.74572e+07
Q14197	ICT1_HUMAN	MRPL58	Large ribosomal subunit protein mL62	2.25603e+06
Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1	7.46269e+06
Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	4.66808e+07
Q14210	LY6D_HUMAN	LY6D	Lymphocyte antigen 6D	1.74179e+06
Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	2.90311e+06
Q14240	IF4A2_HUMAN	EIF4A2	Eukaryotic initiation factor 4A-II	2.81102e+07
Q14242	SELPL_HUMAN	SELPLG	P-selectin glycoprotein ligand 1	4.64712e+06
Q14244	MAP7_HUMAN	MAP7	Ensconsin	1.87822e+06
Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	1.87941e+07
Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2	1.00179e+07
Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2	4.02383e+06
Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	9.9332e+06
Q14289	FAK2_HUMAN	PTK2B	Protein-tyrosine kinase 2-beta	4.42789e+06
Q14314	FGL2_HUMAN	FGL2	Fibroleukin	8.36718e+06
Q14315	FLNC_HUMAN	FLNC	Filamin-C	4.00182e+06
Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8	1.86181e+06
Q14320	FA50A_HUMAN	FAM50A	Protein FAM50A	3.47378e+06
Q14331	FRG1_HUMAN	FRG1	Protein FRG1	1.86488e+06
Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13	8.66379e+07
Q14376	GALE_HUMAN	GALE	UDP-glucose 4-epimerase	4.09215e+06
Q14392	LRC32_HUMAN	LRRC32	Transforming growth factor beta activator LRRC32	381017
Q14435	GALT3_HUMAN	GALNT3	Polypeptide N-acetylgalactosaminyltransferase 3	347350
Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1	1.45062e+07
Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39	1.63956e+07
Q14515	SPRL1_HUMAN	SPARCL1	SPARC-like protein 1	3.065e+06
Q14554	PDIA5_HUMAN	PDIA5	Protein disulfide-isomerase A5	4.26629e+06
Q14558	KPRA_HUMAN	PRPSAP1	Phosphoribosyl pyrophosphate synthase-associated protein 1	1.60769e+06
Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	6.81614e+06
Q14571	ITPR2_HUMAN	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2	1.76924e+06
Q14573	ITPR3_HUMAN	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3	2.37777e+06
Q14574	DSC3_HUMAN	DSC3	Desmocollin-3	9.65116e+06
Q14624	ITIH4_HUMAN	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4	9.52812e+06
Q14643	ITPR1_HUMAN	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1	951423
Q14644	RASA3_HUMAN	RASA3	Ras GTPase-activating protein 3	729118
Q14651	PLSI_HUMAN	PLS1	Plastin-1	892785
Q14653	IRF3_HUMAN	IRF3	Interferon regulatory factor 3	2.37306e+06
Q14657	LAGE3_HUMAN	LAGE3	EKC/KEOPS complex subunit LAGE3	3.19634e+06
Q14669	TRIPC_HUMAN	TRIP12	E3 ubiquitin-protein ligase TRIP12	1.46918e+06
Q14671	PUM1_HUMAN	PUM1	Pumilio homolog 1	3.00064e+06
Q14676	MDC1_HUMAN	MDC1	Mediator of DNA damage checkpoint protein 1	1.12783e+06
Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1	1.10973e+07
Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	6.96682e+06
Q14684	RRP1B_HUMAN	RRP1B	Ribosomal RNA processing protein 1 homolog B	528970
Q14689	DIP2A_HUMAN	DIP2A	Disco-interacting protein 2 homolog A	4.16776e+06
Q14690	RRP5_HUMAN	PDCD11	Protein RRP5 homolog	3.96798e+06
Q14692	BMS1_HUMAN	BMS1	Ribosome biogenesis protein BMS1 homolog	2.14867e+06
Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10	2.04042e+06
Q14696	MESD_HUMAN	MESD	LRP chaperone MESD	1.32348e+07
Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	7.19112e+07
Q14699	RFTN1_HUMAN	RFTN1	Raftlin	5.34735e+06
Q14722	KCAB1_HUMAN	KCNAB1	Voltage-gated potassium channel subunit beta-1	3.15058e+06
Q14728	MFS10_HUMAN	MFSD10	Major facilitator superfamily domain-containing protein 10	849215
Q14738	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	2.9284e+06
Q14739	LBR_HUMAN	LBR	Delta(14)-sterol reductase LBR	1.48104e+07
Q14746	COG2_HUMAN	COG2	Conserved oligomeric Golgi complex subunit 2	594222
Q14761	PTCA_HUMAN	PTPRCAP	Protein tyrosine phosphatase receptor type C-associated protein	7.94595e+06
Q14764	MVP_HUMAN	MVP	Major vault protein	6.25274e+07
Q14765	STAT4_HUMAN	STAT4	Signal transducer and activator of transcription 4	430695
Q14766	LTBP1_HUMAN	LTBP1	Latent-transforming growth factor beta-binding protein 1	3.31337e+06
Q14767	LTBP2_HUMAN	LTBP2	Latent-transforming growth factor beta-binding protein 2	7.11593e+06
Q14789	GOGB1_HUMAN	GOLGB1	Golgin subfamily B member 1	6.73847e+06
Q14790	CASP8_HUMAN	CASP8	Caspase-8	2.49258e+06
Q147X3	NAA30_HUMAN	NAA30	N-alpha-acetyltransferase 30	735598
Q14802	FXYD3_HUMAN	FXYD3	FXYD domain-containing ion transport regulator 3	2.28913e+06
Q14814	MEF2D_HUMAN	MEF2D	Myocyte-specific enhancer factor 2D	659570
Q14839	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	1.03633e+07
Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	4.76488e+07
Q14865	ARI5B_HUMAN	ARID5B	AT-rich interactive domain-containing protein 5B	1.47311e+06
Q14914	PTGR1_HUMAN	PTGR1	Prostaglandin reductase 1	933172
Q14919	NC2A_HUMAN	DRAP1	Dr1-associated corepressor	3.87906e+06
Q14938	NFIX_HUMAN	NFIX	Nuclear factor 1 X-type	916680
Q14956	GPNMB_HUMAN	GPNMB	Transmembrane glycoprotein NMB	8.03751e+07
Q14966	ZN638_HUMAN	ZNF638	Zinc finger protein 638	3.13636e+06
Q14974	IMB1_HUMAN	KPNB1	Importin subunit beta-1	3.59572e+07
Q14978	NOLC1_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1	1.646e+07
Q14980	NUMA1_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	1.32611e+07
Q14997	PSME4_HUMAN	PSME4	Proteasome activator complex subunit 4	1.73995e+06
Q14BN4	SLMAP_HUMAN	SLMAP	Sarcolemmal membrane-associated protein	572233
Q14C86	GAPD1_HUMAN	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	3.6227e+06
Q14CN2	CLCA4_HUMAN	CLCA4	Calcium-activated chloride channel regulator 4	1.16319e+07
Q14CX7	NAA25_HUMAN	NAA25	N-alpha-acetyltransferase 25, NatB auxiliary subunit	1.92715e+06
Q15003	CND2_HUMAN	NCAPH	Condensin complex subunit 2	458878
Q15005	SPCS2_HUMAN	SPCS2	Signal peptidase complex subunit 2	1.43518e+07
Q15006	EMC2_HUMAN	EMC2	ER membrane protein complex subunit 2	3.54025e+06
Q15007	FL2D_HUMAN	WTAP	Pre-mRNA-splicing regulator WTAP	2.36706e+06
Q15008	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6	8.4729e+06
Q15014	MO4L2_HUMAN	MORF4L2	Mortality factor 4-like protein 2	339707
Q15018	ABRX2_HUMAN	ABRAXAS2	BRISC complex subunit Abraxas 2	3.63414e+06
Q15019	SEPT2_HUMAN	SEPTIN2	Septin-2	3.19614e+07
Q15020	SART3_HUMAN	SART3	Squamous cell carcinoma antigen recognized by T-cells 3	8.68531e+06
Q15021	CND1_HUMAN	NCAPD2	Condensin complex subunit 1	1.29085e+06
Q15024	EXOS7_HUMAN	EXOSC7	Exosome complex component RRP42	1.94752e+06
Q15027	ACAP1_HUMAN	ACAP1	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1	3.69278e+06
Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	1.3075e+07
Q15031	SYLM_HUMAN	LARS2	Leucine--tRNA ligase, mitochondrial	984469
Q15036	SNX17_HUMAN	SNX17	Sorting nexin-17	1.85799e+06
Q15042	RB3GP_HUMAN	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit	1.64402e+06
Q15043	S39AE_HUMAN	SLC39A14	Metal cation symporter ZIP14	2.85001e+06
Q15046	SYK_HUMAN	KARS1	Lysine--tRNA ligase	9.09254e+07
Q15048	LRC14_HUMAN	LRRC14	Leucine-rich repeat-containing protein 14	376031
Q15050	RRS1_HUMAN	RRS1	Ribosome biogenesis regulatory protein homolog	4.75688e+06
Q15052	ARHG6_HUMAN	ARHGEF6	Rho guanine nucleotide exchange factor 6	2.39396e+06
Q15054	DPOD3_HUMAN	POLD3	DNA polymerase delta subunit 3	1.47909e+06
Q15056	IF4H_HUMAN	EIF4H	Eukaryotic translation initiation factor 4H	2.65689e+07
Q15057	ACAP2_HUMAN	ACAP2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	2.62272e+06
Q15061	WDR43_HUMAN	WDR43	WD repeat-containing protein 43	3.30592e+06
Q15063	POSTN_HUMAN	POSTN	Periostin	6.58653e+07
Q15067	ACOX1_HUMAN	ACOX1	Peroxisomal acyl-coenzyme A oxidase 1	3.83647e+06
Q15075	EEA1_HUMAN	EEA1	Early endosome antigen 1	5.19399e+06
Q15080	NCF4_HUMAN	NCF4	Neutrophil cytosol factor 4	4.01707e+06
Q15084	PDIA6_HUMAN	PDIA6	Protein disulfide-isomerase A6	5.76133e+07
Q15102	PA1B3_HUMAN	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit alpha1	1.24821e+07
Q15113	PCOC1_HUMAN	PCOLCE	Procollagen C-endopeptidase enhancer 1	5.4153e+06
Q15118	PDK1_HUMAN	PDK1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	2.73256e+06
Q15120	PDK3_HUMAN	PDK3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial	1.54828e+06
Q15121	PEA15_HUMAN	PEA15	Astrocytic phosphoprotein PEA-15	3.54697e+07
Q15124	PGM5_HUMAN	PGM5	Phosphoglucomutase-like protein 5	1.23033e+06
Q15126	PMVK_HUMAN	PMVK	Phosphomevalonate kinase	1.30859e+07
Q15149	PLEC_HUMAN	PLEC	Plectin	8.3766e+07
Q15154	PCM1_HUMAN	PCM1	Pericentriolar material 1 protein	3.03995e+06
Q15165	PON2_HUMAN	PON2	Serum paraoxonase/arylesterase 2	3.0418e+06
Q15172	2A5A_HUMAN	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	2.64386e+06
Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase	5.29847e+07
Q15185	TEBP_HUMAN	PTGES3	Prostaglandin E synthase 3	6.64505e+06
Q15208	STK38_HUMAN	STK38	Serine/threonine-protein kinase 38	3.08214e+06
Q15223	NECT1_HUMAN	NECTIN1	Nectin-1	3.30971e+06
Q15233	NONO_HUMAN	NONO	Non-POU domain-containing octamer-binding protein	5.16595e+07
Q15257	PTPA_HUMAN	PTPA	Serine/threonine-protein phosphatase 2A activator	9.79053e+06
Q15262	PTPRK_HUMAN	PTPRK	Receptor-type tyrosine-protein phosphatase kappa	615132
Q15269	PWP2_HUMAN	PWP2	Periodic tryptophan protein 2 homolog	2.0172e+06
Q15274	NADC_HUMAN	QPRT	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	549956
Q15276	RABE1_HUMAN	RABEP1	Rab GTPase-binding effector protein 1	1.52877e+06
Q15286	RAB35_HUMAN	RAB35	Ras-related protein Rab-35	9.00971e+06
Q15287	RNPS1_HUMAN	RNPS1	RNA-binding protein with serine-rich domain 1	2.16019e+07
Q15291	RBBP5_HUMAN	RBBP5	Retinoblastoma-binding protein 5	3.17474e+06
Q15293	RCN1_HUMAN	RCN1	Reticulocalbin-1	2.4748e+07
Q15306	IRF4_HUMAN	IRF4	Interferon regulatory factor 4	2.97352e+06
Q15334	L2GL1_HUMAN	LLGL1	Lethal(2) giant larvae protein homolog 1	1.43347e+06
Q15363	TMED2_HUMAN	TMED2	Transmembrane emp24 domain-containing protein 2	7.7438e+06
Q15365	PCBP1_HUMAN	PCBP1	Poly(rC)-binding protein 1	8.549e+07
Q15366	PCBP2_HUMAN	PCBP2	Poly(rC)-binding protein 2	3.72817e+07
Q15369	ELOC_HUMAN	ELOC	Elongin-C	3.83601e+06
Q15370	ELOB_HUMAN	ELOB	Elongin-B	9.64988e+06
Q15382	RHEB_HUMAN	RHEB	GTP-binding protein Rheb	3.13763e+06
Q15386	UBE3C_HUMAN	UBE3C	Ubiquitin-protein ligase E3C	2.60572e+06
Q15393	SF3B3_HUMAN	SF3B3	Splicing factor 3B subunit 3	1.6763e+07
Q15397	PUM3_HUMAN	PUM3	Pumilio homolog 3	1.85456e+06
Q15404	RSU1_HUMAN	RSU1	Ras suppressor protein 1	1.1859e+07
Q15417	CNN3_HUMAN	CNN3	Calponin-3	4.13251e+07
Q15418	KS6A1_HUMAN	RPS6KA1	Ribosomal protein S6 kinase alpha-1	2.67453e+06
Q15424	SAFB1_HUMAN	SAFB	Scaffold attachment factor B1	1.35818e+07
Q15427	SF3B4_HUMAN	SF3B4	Splicing factor 3B subunit 4	6.87122e+06
Q15428	SF3A2_HUMAN	SF3A2	Splicing factor 3A subunit 2	1.33041e+07
Q15434	RBMS2_HUMAN	RBMS2	RNA-binding motif, single-stranded-interacting protein 2	7.54706e+06
Q15435	PP1R7_HUMAN	PPP1R7	Protein phosphatase 1 regulatory subunit 7	7.35797e+06
Q15436	SC23A_HUMAN	SEC23A	Protein transport protein Sec23A	1.7256e+07
Q15437	SC23B_HUMAN	SEC23B	Protein transport protein Sec23B	7.11893e+06
Q15459	SF3A1_HUMAN	SF3A1	Splicing factor 3A subunit 1	1.39001e+07
Q15477	SKI2_HUMAN	SKIC2	Superkiller complex protein 2	3.3089e+06
Q15542	TAF5_HUMAN	TAF5	Transcription initiation factor TFIID subunit 5	336469
Q15554	TERF2_HUMAN	TERF2	Telomeric repeat-binding factor 2	964602
Q15555	MARE2_HUMAN	MAPRE2	Microtubule-associated protein RP/EB family member 2	4.45859e+06
Q15582	BGH3_HUMAN	TGFBI	Transforming growth factor-beta-induced protein ig-h3	7.64708e+07
Q15599	NHRF2_HUMAN	NHERF2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2	729549
Q15628	TRADD_HUMAN	TRADD	Tumor necrosis factor receptor type 1-associated DEATH domain protein	3.24608e+06
Q15631	TSN_HUMAN	TSN	Translin	1.15957e+07
Q15637	SF01_HUMAN	SF1	Splicing factor 1	1.7608e+07
Q15642	CIP4_HUMAN	TRIP10	Cdc42-interacting protein 4	3.27031e+06
Q15643	TRIPB_HUMAN	TRIP11	Thyroid receptor-interacting protein 11	2.5276e+06
Q15645	PCH2_HUMAN	TRIP13	Pachytene checkpoint protein 2 homolog	926513
Q15646	OASL_HUMAN	OASL	2'-5'-oligoadenylate synthase-like protein	1.31822e+06
Q15648	MED1_HUMAN	MED1	Mediator of RNA polymerase II transcription subunit 1	577401
Q15650	TRIP4_HUMAN	TRIP4	Activating signal cointegrator 1	2.29876e+06
Q15654	TRIP6_HUMAN	TRIP6	Thyroid receptor-interacting protein 6	4.49776e+06
Q15691	MARE1_HUMAN	MAPRE1	Microtubule-associated protein RP/EB family member 1	3.00922e+07
Q15714	T22D1_HUMAN	TSC22D1	TSC22 domain family protein 1	1.66164e+06
Q15717	ELAV1_HUMAN	ELAVL1	ELAV-like protein 1	3.88053e+07
Q15738	NSDHL_HUMAN	NSDHL	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	5.44919e+06
Q15746	MYLK_HUMAN	MYLK	Myosin light chain kinase, smooth muscle	1.34921e+07
Q15750	TAB1_HUMAN	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	2.9894e+06
Q15758	AAAT_HUMAN	SLC1A5	Neutral amino acid transporter B(0)	1.37397e+06
Q15773	MLF2_HUMAN	MLF2	Myeloid leukemia factor 2	882830
Q15785	TOM34_HUMAN	TOMM34	Mitochondrial import receptor subunit TOM34	1.28046e+06
Q15796	SMAD2_HUMAN	SMAD2	Mothers against decapentaplegic homolog 2	7.70384e+06
Q15797	SMAD1_HUMAN	SMAD1	Mothers against decapentaplegic homolog 1	1.22353e+06
Q15811	ITSN1_HUMAN	ITSN1	Intersectin-1	1.00719e+06
Q15813	TBCE_HUMAN	TBCE	Tubulin-specific chaperone E	1.58256e+06
Q15814	TBCC_HUMAN	TBCC	Tubulin-specific chaperone C	1.35454e+06
Q15819	UB2V2_HUMAN	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	452413
Q15833	STXB2_HUMAN	STXBP2	Syntaxin-binding protein 2	6.87406e+06
Q15836	VAMP3_HUMAN	VAMP3	Vesicle-associated membrane protein 3	7.23346e+06
Q15843	NEDD8_HUMAN	NEDD8	NEDD8	9.07476e+06
Q15847	ADIRF_HUMAN	ADIRF	Adipogenesis regulatory factor	3.60339e+06
