Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
Q15024	EXOS7_HUMAN	EXOSC7	Exosome complex component RRP42	3.99158e+06
Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	4.21803e+07
Q15031	SYLM_HUMAN	LARS2	Leucine--tRNA ligase, mitochondrial	8.95919e+06
Q15036	SNX17_HUMAN	SNX17	Sorting nexin-17	2.97989e+06
Q15042	RB3GP_HUMAN	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit	2.07739e+06
Q15043	S39AE_HUMAN	SLC39A14	Metal cation symporter ZIP14	1.86359e+06
Q15046	SYK_HUMAN	KARS1	Lysine--tRNA ligase	4.3337e+07
Q15047	SETB1_HUMAN	SETDB1	Histone-lysine N-methyltransferase SETDB1	541469
Q15048	LRC14_HUMAN	LRRC14	Leucine-rich repeat-containing protein 14	912872
Q15050	RRS1_HUMAN	RRS1	Ribosome biogenesis regulatory protein homolog	1.98256e+07
Q15054	DPOD3_HUMAN	POLD3	DNA polymerase delta subunit 3	2.89473e+06
Q15056	IF4H_HUMAN	EIF4H	Eukaryotic translation initiation factor 4H	6.66773e+07
Q15057	ACAP2_HUMAN	ACAP2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	7.4218e+06
Q15059	BRD3_HUMAN	BRD3	Bromodomain-containing protein 3	1.44508e+06
Q15061	WDR43_HUMAN	WDR43	WD repeat-containing protein 43	2.63195e+07
Q15063	POSTN_HUMAN	POSTN	Periostin	5.0514e+07
Q15067	ACOX1_HUMAN	ACOX1	Peroxisomal acyl-coenzyme A oxidase 1	1.89597e+07
Q15070	OXA1L_HUMAN	OXA1L	Mitochondrial inner membrane protein OXA1L	1.09995e+07
Q15072	OZF_HUMAN	ZNF146	Zinc finger protein OZF	509083
Q15075	EEA1_HUMAN	EEA1	Early endosome antigen 1	4.72076e+06
Q15080	NCF4_HUMAN	NCF4	Neutrophil cytosol factor 4	1.62334e+06
Q15084	PDIA6_HUMAN	PDIA6	Protein disulfide-isomerase A6	1.18397e+08
Q15102	PA1B3_HUMAN	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit alpha1	4.81428e+07
Q15113	PCOC1_HUMAN	PCOLCE	Procollagen C-endopeptidase enhancer 1	3.41742e+07
Q15118	PDK1_HUMAN	PDK1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	1.84446e+07
Q15120	PDK3_HUMAN	PDK3	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial	4.0888e+07
Q15121	PEA15_HUMAN	PEA15	Astrocytic phosphoprotein PEA-15	3.13513e+07
Q15126	PMVK_HUMAN	PMVK	Phosphomevalonate kinase	2.45882e+07
Q15147	PLCB4_HUMAN	PLCB4	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4	2.89712e+06
Q15149	PLEC_HUMAN	PLEC	Plectin	5.08781e+07
Q15154	PCM1_HUMAN	PCM1	Pericentriolar material 1 protein	3.10531e+06
Q15155	NOMO1_HUMAN	NOMO1	BOS complex subunit NOMO1	1.09705e+07
Q15165	PON2_HUMAN	PON2	Serum paraoxonase/arylesterase 2	4.83681e+06
Q15166	PON3_HUMAN	PON3	Serum paraoxonase/lactonase 3	5.59332e+06
Q15172	2A5A_HUMAN	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	4.35722e+06
Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase	2.72986e+08
Q15185	TEBP_HUMAN	PTGES3	Prostaglandin E synthase 3	1.30587e+08
Q15208	STK38_HUMAN	STK38	Serine/threonine-protein kinase 38	2.62576e+06
Q15223	NECT1_HUMAN	NECTIN1	Nectin-1	2.3581e+06
Q15233	NONO_HUMAN	NONO	Non-POU domain-containing octamer-binding protein	2.16586e+08
Q15257	PTPA_HUMAN	PTPA	Serine/threonine-protein phosphatase 2A activator	8.70947e+06
Q15262	PTPRK_HUMAN	PTPRK	Receptor-type tyrosine-protein phosphatase kappa	3.48935e+06
Q15269	PWP2_HUMAN	PWP2	Periodic tryptophan protein 2 homolog	9.68165e+06
Q15274	NADC_HUMAN	QPRT	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	1.60417e+07
Q15276	RABE1_HUMAN	RABEP1	Rab GTPase-binding effector protein 1	5.04956e+06
Q15286	RAB35_HUMAN	RAB35	Ras-related protein Rab-35	1.68373e+07
Q15287	RNPS1_HUMAN	RNPS1	RNA-binding protein with serine-rich domain 1	9.6656e+07
Q15291	RBBP5_HUMAN	RBBP5	Retinoblastoma-binding protein 5	5.86987e+06
Q15293	RCN1_HUMAN	RCN1	Reticulocalbin-1	3.51886e+07
Q15326	ZMY11_HUMAN	ZMYND11	Zinc finger MYND domain-containing protein 11	1.4006e+06
Q15329	E2F5_HUMAN	E2F5	Transcription factor E2F5	2.69584e+06
Q15334	L2GL1_HUMAN	LLGL1	Lethal(2) giant larvae protein homolog 1	4.16527e+06
Q15363	TMED2_HUMAN	TMED2	Transmembrane emp24 domain-containing protein 2	1.74548e+07
Q15365	PCBP1_HUMAN	PCBP1	Poly(rC)-binding protein 1	1.99746e+08
Q15366	PCBP2_HUMAN	PCBP2	Poly(rC)-binding protein 2	1.40225e+08
Q15369	ELOC_HUMAN	ELOC	Elongin-C	2.04935e+07
Q15370	ELOB_HUMAN	ELOB	Elongin-B	2.51481e+07
Q15382	RHEB_HUMAN	RHEB	GTP-binding protein Rheb	2.41181e+07
Q15386	UBE3C_HUMAN	UBE3C	Ubiquitin-protein ligase E3C	3.25359e+07
Q15388	TOM20_HUMAN	TOMM20	Mitochondrial import receptor subunit TOM20 homolog	3.50944e+07
Q15390	MTFR1_HUMAN	MTFR1	Mitochondrial fission regulator 1	1.90628e+06
Q15393	SF3B3_HUMAN	SF3B3	Splicing factor 3B subunit 3	1.10456e+08
Q15397	PUM3_HUMAN	PUM3	Pumilio homolog 3	1.32196e+07
Q15398	DLGP5_HUMAN	DLGAP5	Disks large-associated protein 5	1.43922e+06
Q15404	RSU1_HUMAN	RSU1	Ras suppressor protein 1	1.31084e+07
Q15417	CNN3_HUMAN	CNN3	Calponin-3	8.88325e+07
Q15418	KS6A1_HUMAN	RPS6KA1	Ribosomal protein S6 kinase alpha-1	6.10353e+06
Q15424	SAFB1_HUMAN	SAFB	Scaffold attachment factor B1	3.41941e+07
Q15427	SF3B4_HUMAN	SF3B4	Splicing factor 3B subunit 4	3.08552e+07
Q15428	SF3A2_HUMAN	SF3A2	Splicing factor 3A subunit 2	4.35658e+07
Q15434	RBMS2_HUMAN	RBMS2	RNA-binding motif, single-stranded-interacting protein 2	5.45917e+06
Q15435	PP1R7_HUMAN	PPP1R7	Protein phosphatase 1 regulatory subunit 7	1.03337e+07
Q15436	SC23A_HUMAN	SEC23A	Protein transport protein Sec23A	1.65883e+07
Q15437	SC23B_HUMAN	SEC23B	Protein transport protein Sec23B	1.28858e+07
Q15438	CYH1_HUMAN	CYTH1	Cytohesin-1	5.99406e+06
Q15459	SF3A1_HUMAN	SF3A1	Splicing factor 3A subunit 1	4.6481e+07
Q15475;Q9NPC8	SIX1_HUMAN;SIX2_HUMAN	SIX1;SIX2	Homeobox protein SIX1	1.35807e+06
Q15477	SKI2_HUMAN	SKIC2	Superkiller complex protein 2	7.76301e+06
Q15526	SURF1_HUMAN	SURF1	Surfeit locus protein 1	1.57239e+06
Q15532	SSXT_HUMAN	SS18	Protein SSXT	2.94355e+06
Q15542	TAF5_HUMAN	TAF5	Transcription initiation factor TFIID subunit 5	3.20334e+06
Q15554	TERF2_HUMAN	TERF2	Telomeric repeat-binding factor 2	2.61208e+06
Q15555	MARE2_HUMAN	MAPRE2	Microtubule-associated protein RP/EB family member 2	2.32598e+06
Q15582	BGH3_HUMAN	TGFBI	Transforming growth factor-beta-induced protein ig-h3	2.54852e+08
Q15596	NCOA2_HUMAN	NCOA2	Nuclear receptor coactivator 2	5.02211e+06
Q15599	NHRF2_HUMAN	NHERF2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2	5.74469e+06
Q15628	TRADD_HUMAN	TRADD	Tumor necrosis factor receptor type 1-associated DEATH domain protein	1.39006e+06
Q15631	TSN_HUMAN	TSN	Translin	2.12904e+07
Q15633	TRBP2_HUMAN	TARBP2	RISC-loading complex subunit TARBP2	4.22059e+06
Q15637	SF01_HUMAN	SF1	Splicing factor 1	8.21863e+07
Q15642	CIP4_HUMAN	TRIP10	Cdc42-interacting protein 4	416356
Q15643	TRIPB_HUMAN	TRIP11	Thyroid receptor-interacting protein 11	4.16861e+06
Q15645	PCH2_HUMAN	TRIP13	Pachytene checkpoint protein 2 homolog	4.32593e+06
Q15646	OASL_HUMAN	OASL	2'-5'-oligoadenylate synthase-like protein	3.29335e+06
Q15648	MED1_HUMAN	MED1	Mediator of RNA polymerase II transcription subunit 1	4.6511e+06
Q15652	JHD2C_HUMAN	JMJD1C	Probable JmjC domain-containing histone demethylation protein 2C	675142
Q15653	IKBB_HUMAN	NFKBIB	NF-kappa-B inhibitor beta	4.37108e+06
Q15654	TRIP6_HUMAN	TRIP6	Thyroid receptor-interacting protein 6	1.61315e+07
Q15672;Q8WVJ9	TWST1_HUMAN;TWST2_HUMAN	TWIST1;TWIST2	Twist-related protein 1	2.40482e+06
Q15691	MARE1_HUMAN	MAPRE1	Microtubule-associated protein RP/EB family member 1	6.05656e+07
Q15714	T22D1_HUMAN	TSC22D1	TSC22 domain family protein 1	2.45908e+06
Q15717	ELAV1_HUMAN	ELAVL1	ELAV-like protein 1	1.81746e+08
Q15738	NSDHL_HUMAN	NSDHL	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	4.11522e+06
Q15742	NAB2_HUMAN	NAB2	NGFI-A-binding protein 2	1.05444e+07
Q15746	MYLK_HUMAN	MYLK	Myosin light chain kinase, smooth muscle	2.10995e+06
Q15750	TAB1_HUMAN	TAB1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	6.26303e+06
Q15758	AAAT_HUMAN	SLC1A5	Neutral amino acid transporter B(0)	3.06061e+07
Q15773	MLF2_HUMAN	MLF2	Myeloid leukemia factor 2	1.64364e+07
Q15785	TOM34_HUMAN	TOMM34	Mitochondrial import receptor subunit TOM34	2.8132e+07
Q15796	SMAD2_HUMAN	SMAD2	Mothers against decapentaplegic homolog 2	1.60475e+07
Q15811	ITSN1_HUMAN	ITSN1	Intersectin-1	1.49703e+06
Q15813	TBCE_HUMAN	TBCE	Tubulin-specific chaperone E	6.52928e+06
Q15814	TBCC_HUMAN	TBCC	Tubulin-specific chaperone C	6.00654e+06
Q15819	UB2V2_HUMAN	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	1.46312e+08
Q15833	STXB2_HUMAN	STXBP2	Syntaxin-binding protein 2	7.12105e+06
Q15836	VAMP3_HUMAN	VAMP3	Vesicle-associated membrane protein 3	6.69675e+06
Q15843	NEDD8_HUMAN	NEDD8	NEDD8	5.98225e+07
Q15847	ADIRF_HUMAN	ADIRF	Adipogenesis regulatory factor	8.69981e+06
Q15904	VAS1_HUMAN	ATP6AP1	V-type proton ATPase subunit S1	3.7527e+06
Q15907	RB11B_HUMAN	RAB11B	Ras-related protein Rab-11B	6.78614e+07
Q15910	EZH2_HUMAN	EZH2	Histone-lysine N-methyltransferase EZH2	2.29811e+06
Q15942	ZYX_HUMAN	ZYX	Zyxin	7.8062e+07
Q16134	ETFD_HUMAN	ETFDH	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	1.71119e+06
Q16181	SEPT7_HUMAN	SEPTIN7	Septin-7	3.32149e+07
Q16186	ADRM1_HUMAN	ADRM1	Proteasomal ubiquitin receptor ADRM1	1.14581e+07
Q16204	CCDC6_HUMAN	CCDC6	Coiled-coil domain-containing protein 6	6.87359e+06
Q16222	UAP1_HUMAN	UAP1	UDP-N-acetylhexosamine pyrophosphorylase	1.49715e+07
Q16270	IBP7_HUMAN	IGFBP7	Insulin-like growth factor-binding protein 7	5.69643e+06
Q16342	PDCD2_HUMAN	PDCD2	Programmed cell death protein 2	1.67096e+06
Q16352	AINX_HUMAN	INA	Alpha-internexin	673427
Q16363	LAMA4_HUMAN	LAMA4	Laminin subunit alpha-4	7.37619e+06
Q16394	EXT1_HUMAN	EXT1	Exostosin-1	1.21694e+06
Q16401	PSMD5_HUMAN	PSMD5	26S proteasome non-ATPase regulatory subunit 5	1.57692e+07
Q16512	PKN1_HUMAN	PKN1	Serine/threonine-protein kinase N1	1.42197e+07
Q16513	PKN2_HUMAN	PKN2	Serine/threonine-protein kinase N2	1.36744e+07
Q16527	CSRP2_HUMAN	CSRP2	Cysteine and glycine-rich protein 2	2.51323e+07
Q16531	DDB1_HUMAN	DDB1	DNA damage-binding protein 1	3.94893e+07
Q16537	2A5E_HUMAN	PPP2R5E	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	4.68563e+06
Q16539	MK14_HUMAN	MAPK14	Mitogen-activated protein kinase 14	8.80905e+06
Q16540	RM23_HUMAN	MRPL23	Large ribosomal subunit protein uL23m	1.71386e+07
Q16543	CDC37_HUMAN	CDC37	Hsp90 co-chaperone Cdc37	2.62322e+07
Q16555	DPYL2_HUMAN	DPYSL2	Dihydropyrimidinase-related protein 2	6.25831e+07
Q16563	SYPL1_HUMAN	SYPL1	Synaptophysin-like protein 1	5.87675e+06
Q16576	RBBP7_HUMAN	RBBP7	Histone-binding protein RBBP7	5.70549e+07
Q16594	TAF9_HUMAN	TAF9	Transcription initiation factor TFIID subunit 9	4.98178e+06
Q16595	FRDA_HUMAN	FXN	Frataxin, mitochondrial	5.86847e+06
Q16610	ECM1_HUMAN	ECM1	Extracellular matrix protein 1	2.9039e+06
Q16611	BAK_HUMAN	BAK1	Bcl-2 homologous antagonist/killer	5.10309e+06
Q16619	CTF1_HUMAN	CTF1	Cardiotrophin-1	326713
Q16625	OCLN_HUMAN	OCLN	Occludin	4.08856e+06
Q16626	MEA1_HUMAN	MEA1	Male-enhanced antigen 1	2.48776e+06
Q16629	SRSF7_HUMAN	SRSF7	Serine/arginine-rich splicing factor 7	2.2231e+08
Q16630	CPSF6_HUMAN	CPSF6	Cleavage and polyadenylation specificity factor subunit 6	3.50356e+07
Q16637	SMN_HUMAN	SMN1	Survival motor neuron protein	1.31206e+07
Q16643	DREB_HUMAN	DBN1	Drebrin	3.54358e+07
Q16647	PTGIS_HUMAN	PTGIS	Prostacyclin synthase	4.26706e+06
Q16651	PRSS8_HUMAN	PRSS8	Prostasin	3.22031e+06
Q16656	NRF1_HUMAN	NRF1	Nuclear respiratory factor 1	6.91259e+06
Q16658	FSCN1_HUMAN	FSCN1	Fascin	1.76381e+08
Q16666	IF16_HUMAN	IFI16	Gamma-interferon-inducible protein 16	1.14213e+07
Q16698	DECR_HUMAN	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	7.07947e+07
Q16706	MA2A1_HUMAN	MAN2A1	Alpha-mannosidase 2	1.53392e+06
Q16718	NDUA5_HUMAN	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	9.10628e+06
Q16740	CLPP_HUMAN	CLPP	ATP-dependent Clp protease proteolytic subunit, mitochondrial	2.02149e+07
Q16762	THTR_HUMAN	TST	Thiosulfate sulfurtransferase	2.32993e+07
Q16763	UBE2S_HUMAN	UBE2S	Ubiquitin-conjugating enzyme E2 S	4.58844e+06
Q16774	KGUA_HUMAN	GUK1	Guanylate kinase	1.09053e+07
Q16775	GLO2_HUMAN	HAGH	Hydroxyacylglutathione hydrolase, mitochondrial	8.29825e+06
Q16777;Q6FI13	H2A2A_HUMAN;H2A2C_HUMAN	H2AC18;H2AC20	Histone H2A type 2-C	2.16329e+09
Q16778	H2B2E_HUMAN	H2BC21	Histone H2B type 2-E	4.66767e+09
Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	8.3725e+06
Q16798	MAON_HUMAN	ME3	NADP-dependent malic enzyme, mitochondrial	5.4581e+06
Q16822	PCKGM_HUMAN	PCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	8.93736e+06
Q16836	HCDH_HUMAN	HADH	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	6.59826e+07
Q16850	CP51A_HUMAN	CYP51A1	Lanosterol 14-alpha demethylase	4.93029e+06
Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase	2.35739e+07
Q16853	AOC3_HUMAN	AOC3	Membrane primary amine oxidase	986544
Q16854	DGUOK_HUMAN	DGUOK	Deoxyguanosine kinase, mitochondrial	2.86365e+06
Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F	9.66398e+06
Q16881	TRXR1_HUMAN	TXNRD1	Thioredoxin reductase 1, cytoplasmic	2.56366e+07
Q16890	TPD53_HUMAN	TPD52L1	Tumor protein D53	8.35284e+06
Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	7.85526e+07
Q17R31	TATD3_HUMAN	TATDN3	Putative deoxyribonuclease TATDN3	1.43603e+06
Q1ED39	KNOP1_HUMAN	KNOP1	Lysine-rich nucleolar protein 1	6.33426e+06
Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	9.50467e+07
Q1L5Z9	LONF2_HUMAN	LONRF2	LON peptidase N-terminal domain and RING finger protein 2	857242
Q1L6U9	MSMP_HUMAN	MSMP	Prostate-associated microseminoprotein	1.47529e+06
Q24JP5	T132A_HUMAN	TMEM132A	Transmembrane protein 132A	857276
Q27J81	INF2_HUMAN	INF2	Inverted formin-2	2.00304e+06
Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A	1.11338e+07
Q2M2I8	AAK1_HUMAN	AAK1	AP2-associated protein kinase 1	2.45544e+06
Q2M389	WASC4_HUMAN	WASHC4	WASH complex subunit 4	2.07368e+07
Q2NL82	TSR1_HUMAN	TSR1	Pre-rRNA-processing protein TSR1 homolog	8.15389e+06
Q2PPJ7	RGPA2_HUMAN	RALGAPA2	Ral GTPase-activating protein subunit alpha-2	1.3604e+06
Q2Q1W2	LIN41_HUMAN	TRIM71	E3 ubiquitin-protein ligase TRIM71	1.50249e+06
Q2QD12;Q96AT9	RPEL1_HUMAN;RPE_HUMAN	RPE;RPEL1	Ribulose-phosphate 3-epimerase-like protein 1	2.23482e+07
Q2T9J0	TYSD1_HUMAN	TYSND1	Peroxisomal leader peptide-processing protease	3.36669e+06
Q2TAA2	IAH1_HUMAN	IAH1	Isoamyl acetate-hydrolyzing esterase 1 homolog	9.25041e+06
Q2TAL8	QRIC1_HUMAN	QRICH1	Transcriptional regulator QRICH1	2.23607e+06
Q2TAY7	SMU1_HUMAN	SMU1	WD40 repeat-containing protein SMU1	3.12701e+07
Q2VPK5	CTU2_HUMAN	CTU2	Cytoplasmic tRNA 2-thiolation protein 2	1.39603e+06
Q32M88	PGGHG_HUMAN	PGGHG	Protein-glucosylgalactosylhydroxylysine glucosidase	653471
Q32MZ4	LRRF1_HUMAN	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1	1.1682e+07
Q32NB8	PGPS1_HUMAN	PGS1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial	2.1279e+06
Q32P28	P3H1_HUMAN	P3H1	Prolyl 3-hydroxylase 1	1.20098e+07
Q32P41	TRM5_HUMAN	TRMT5	tRNA (guanine(37)-N1)-methyltransferase	2.1558e+07
Q32P44	EMAL3_HUMAN	EML3	Echinoderm microtubule-associated protein-like 3	4.24534e+06
Q3B726	RPA43_HUMAN	POLR1F	DNA-directed RNA polymerase I subunit RPA43	2.19688e+06
Q3B7T1	EDRF1_HUMAN	EDRF1	Erythroid differentiation-related factor 1	619328
Q3KQU3	MA7D1_HUMAN	MAP7D1	MAP7 domain-containing protein 1	5.58771e+06
Q3KQV9	UAP1L_HUMAN	UAP1L1	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	2.37654e+06
Q3LXA3	TKFC_HUMAN	TKFC	Triokinase/FMN cyclase	1.25678e+07
Q3MHD2	LSM12_HUMAN	LSM12	Protein LSM12	1.55245e+07
Q3SXM5	HSDL1_HUMAN	HSDL1	Inactive hydroxysteroid dehydrogenase-like protein 1	4.49044e+06
Q3SY69	AL1L2_HUMAN	ALDH1L2	Mitochondrial 10-formyltetrahydrofolate dehydrogenase	3.94588e+06
Q3V6T2	GRDN_HUMAN	CCDC88A	Girdin	310285
Q3YEC7	RABL6_HUMAN	RABL6	Rab-like protein 6	3.26463e+06
Q3ZCM7	TBB8_HUMAN	TUBB8	Tubulin beta-8 chain	3.97419e+06
Q3ZCQ8	TIM50_HUMAN	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50	8.88709e+06
Q3ZCW2	LEGL_HUMAN	LGALSL	Galectin-related protein	3.36549e+06
Q460N5	PAR14_HUMAN	PARP14	Protein mono-ADP-ribosyltransferase PARP14	2.90583e+07
Q495W5	FUT11_HUMAN	FUT11	Alpha-(1,3)-fucosyltransferase 11	1.11687e+06
Q49A26	GLYR1_HUMAN	GLYR1	Cytokine-like nuclear factor N-PAC	8.01771e+06
Q49AR2	CE022_HUMAN	C5orf22	UPF0489 protein C5orf22	2.77114e+06
Q4G0F5	VP26B_HUMAN	VPS26B	Vacuolar protein sorting-associated protein 26B	1.26433e+07
Q4G0J3	LARP7_HUMAN	LARP7	La-related protein 7	7.38434e+06
Q4G0N4	NAKD2_HUMAN	NADK2	NAD kinase 2, mitochondrial	1.05619e+07
Q4G148	GXLT1_HUMAN	GXYLT1	Glucoside xylosyltransferase 1	1.9455e+06
Q4G176	ACSF3_HUMAN	ACSF3	Malonate--CoA ligase ACSF3, mitochondrial	4.07154e+06
Q4J6C6	PPCEL_HUMAN	PREPL	Prolyl endopeptidase-like	957678
Q4KMP7	TB10B_HUMAN	TBC1D10B	TBC1 domain family member 10B	1.61088e+06
Q4KMQ2	ANO6_HUMAN	ANO6	Anoctamin-6	1.03499e+06
Q4LE39	ARI4B_HUMAN	ARID4B	AT-rich interactive domain-containing protein 4B	776047
Q4U2R6	RM51_HUMAN	MRPL51	Large ribosomal subunit protein mL51	5.46105e+06
Q4V328	GRAP1_HUMAN	GRIPAP1	GRIP1-associated protein 1	5.15912e+06
Q4V339;Q5JTY5;Q5RIA9;Q8IUF1;Q9BRT8	ZNG1A_HUMAN;ZNG1B_HUMAN;ZNG1C_HUMAN;ZNG1E_HUMAN;ZNG1F_HUMAN	ZNG1A;ZNG1B;ZNG1C;ZNG1E;ZNG1F	Zinc-regulated GTPase metalloprotein activator 1F	1.68423e+06
Q4V9L6	TM119_HUMAN	TMEM119	Transmembrane protein 119	663490
Q4VC31	MIX23_HUMAN	MIX23	Protein MIX23	2.39073e+07
Q504Q3	PAN2_HUMAN	PAN2	PAN2-PAN3 deadenylation complex catalytic subunit PAN2	2.5601e+06
Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B	2.12025e+07
Q52LR7	EPC2_HUMAN	EPC2	Enhancer of polycomb homolog 2	291533
Q52LW3	RHG29_HUMAN	ARHGAP29	Rho GTPase-activating protein 29	1.42189e+06
Q53EL6	PDCD4_HUMAN	PDCD4	Programmed cell death protein 4	2.21182e+07
Q53ET0	CRTC2_HUMAN	CRTC2	CREB-regulated transcription coactivator 2	1.75795e+06
Q53F19	NCBP3_HUMAN	NCBP3	Nuclear cap-binding protein subunit 3	8.15351e+06
Q53FA7	QORX_HUMAN	TP53I3	Quinone oxidoreductase PIG3	1.91723e+06
Q53FT3	HIKES_HUMAN	HIKESHI	Protein Hikeshi	5.74545e+06
Q53GG5	PDLI3_HUMAN	PDLIM3	PDZ and LIM domain protein 3	3.55418e+06
Q53GL7	PAR10_HUMAN	PARP10	Protein mono-ADP-ribosyltransferase PARP10	5.06971e+06
Q53GQ0	DHB12_HUMAN	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase	1.7543e+07
Q53GS7	GLE1_HUMAN	GLE1	mRNA export factor GLE1	1.78826e+06
Q53GS9	UBP39_HUMAN	USP39	Ubiquitin carboxyl-terminal hydrolase 39	1.74623e+07
Q53H12	AGK_HUMAN	AGK	Acylglycerol kinase, mitochondrial	2.68966e+07
Q53H47	SETMR_HUMAN	SETMAR	Histone-lysine N-methyltransferase SETMAR	2.08877e+06
Q53H82	LACB2_HUMAN	LACTB2	Endoribonuclease LACTB2	1.28876e+07
Q53H96	P5CR3_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3	2.98074e+07
Q53HC9	EIPR1_HUMAN	EIPR1	EARP and GARP complex-interacting protein 1	6.52897e+06
Q53HL2	BOREA_HUMAN	CDCA8	Borealin	1.90339e+06
Q53HV7	SMUG1_HUMAN	SMUG1	Single-strand selective monofunctional uracil DNA glycosylase	357459
Q53QV2	LBH_HUMAN	LBH	Protein LBH	1.73077e+06
Q53SF7	COBL1_HUMAN	COBLL1	Cordon-bleu protein-like 1	4.96427e+06
Q53T59	H1BP3_HUMAN	HS1BP3	HCLS1-binding protein 3	4.10704e+06
Q53TN4	CYBR1_HUMAN	CYBRD1	Plasma membrane ascorbate-dependent reductase CYBRD1	4.42084e+06
Q562E7	WDR81_HUMAN	WDR81	WD repeat-containing protein 81	790948
Q562R1	ACTBL_HUMAN	ACTBL2	Beta-actin-like protein 2	1.49173e+09
Q567U6	CCD93_HUMAN	CCDC93	Coiled-coil domain-containing protein 93	2.2559e+06
Q56VL3	OCAD2_HUMAN	OCIAD2	OCIA domain-containing protein 2	3.60597e+06
Q587I9	SFT2C_HUMAN	SFT2D3	Vesicle transport protein SFT2C	2.82166e+06
Q58A45	PAN3_HUMAN	PAN3	PAN2-PAN3 deadenylation complex subunit PAN3	2.76749e+06
Q58FF6	H90B4_HUMAN	HSP90AB4P	Putative heat shock protein HSP 90-beta 4	8.03744e+07
Q58FF7	H90B3_HUMAN	HSP90AB3P	Putative heat shock protein HSP 90-beta-3	2.35151e+06
Q58FG1	HS904_HUMAN	HSP90AA4P	Putative heat shock protein HSP 90-alpha A4	1.07184e+07
Q58WW2	DCAF6_HUMAN	DCAF6	DDB1- and CUL4-associated factor 6	3.6109e+06
Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326	1.07486e+07
Q5C9Z4	NOM1_HUMAN	NOM1	Nucleolar MIF4G domain-containing protein 1	4.31944e+06
Q5EB52	MEST_HUMAN	MEST	Mesoderm-specific transcript homolog protein	3.42174e+06
Q5EBL4	RIPL1_HUMAN	RILPL1	RILP-like protein 1	1.8754e+06
Q5EBL8	PDZ11_HUMAN	PDZD11	PDZ domain-containing protein 11	1.78871e+07
Q5GLZ8	HERC4_HUMAN	HERC4	Probable E3 ubiquitin-protein ligase HERC4	1.91013e+06
Q5H9L2;Q6IPX3;Q969E4	TCAL3_HUMAN;TCAL5_HUMAN;TCAL6_HUMAN	TCEAL3;TCEAL5;TCEAL6	Transcription elongation factor A protein-like 5	4.065e+06
Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	4.23211e+06
Q5HYI7	MTX3_HUMAN	MTX3	Metaxin-3	2.00962e+06
Q5HYI8	RABL3_HUMAN	RABL3	Rab-like protein 3	8.01517e+06
Q5HYJ3	FA76B_HUMAN	FAM76B	Protein FAM76B	2.33292e+06
Q5HYK3	COQ5_HUMAN	COQ5	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	1.18433e+07
